股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260422],自由流通股[20260422],fenglu_ratio,zt_first_time,涨停原因类别[20260422],涨停[20260422],涨停明细数据[20260422],zt_last_time,涨停封单额[20260422],涨停开板次数[20260422],自由流通市值[20260422],实际换手率[20260422],a股市值(不含限售股)[20260422],market_code,code,date
600184.SH,光电股份,21.87,-2.9294274300932095,3972452,286569768,0.013862076337375547, 09:57:19,光纤+CPO+军工装备+央企,涨停,"[{""code"":""600184.SH"",""time"":1776823039342,""openTime"":null,""duration"":12739764,""updatedTime"":1776841200000,""firstVol"":2.7527461E7,""highestVol"":2.7527461E7,""firstVolDivLTGB"":0.04723899680665131,""firstVolDivVol"":0.8989356508440488,""highestVolDivLTGB"":0.04723899680665131,""highestVolDivVol"":0.8989356508440488}]", 09:57:19,102687884.2,0,7407828502.8,12.016442362475583,15063505047.8,17,600184,20260422
600683.SH,京投发展,14.5,5.762217359591532,4388920,327554570,0.0133990498132876, 10:01:25,拟剥离地产+TOD轨道物业+北京国资,涨停,"[{""code"":""600683.SH"",""time"":1776823285087,""openTime"":1776823632090,""duration"":347003,""updatedTime"":1776823632090,""firstVol"":1.732815E7,""highestVol"":1.762945E7,""firstVolDivLTGB"":0.023391838616847373,""firstVolDivVol"":0.5687549642133534,""highestVolDivLTGB"":0.023798573379372863,""highestVolDivVol"":0.5782401540062616},{""code"":""600683.SH"",""time"":1776823647090,""openTime"":null,""duration"":12132016,""updatedTime"":1776841200000,""firstVol"":1.15613E7,""highestVol"":1.15613E7,""firstVolDivLTGB"":0.015606978459960095,""firstVolDivVol"":0.36012684135028517,""highestVolDivLTGB"":0.015606978459960095,""highestVolDivVol"":0.36012684135028517}]", 10:07:27,57714298.0,1,4307342595.5,10.551185715406138,9741225400.55,17,600683,20260422
603618.SH,杭电股份,28.26,-4.105870376654216,4216180,327004916,0.01289332298600673, 09:49:46,一季报增长+光纤涨价+特高压+锂电铜箔,涨停,"[{""code"":""603618.SH"",""time"":1776822586548,""openTime"":1776822616548,""duration"":30000,""updatedTime"":1776822616548,""firstVol"":1.6171805E7,""highestVol"":1.6171805E7,""firstVolDivLTGB"":0.023390765635564446,""firstVolDivVol"":0.3166574581259421,""highestVolDivLTGB"":0.023390765635564446,""highestVolDivVol"":0.3166574581259421},{""code"":""603618.SH"",""time"":1776822811705,""openTime"":null,""duration"":12967401,""updatedTime"":1776841200000,""firstVol"":2.2697623E7,""highestVol"":2.5326032E7,""firstVolDivLTGB"":0.032829655074210776,""firstVolDivVol"":0.3555270669015375,""highestVolDivLTGB"":0.03663136421635096,""highestVolDivVol"":0.38344266795213516}]", 09:53:31,120371939.0,1,9335990351.8,22.853778137084642,19738773836.8,17,603618,20260422
601061.SH,中信金属,13.86,-1.2820512820512802,6388700,501153847,0.012747981559443162, 09:34:26,一季报大增+铜贸易+铌+央企,涨停,"[{""code"":""601061.SH"",""time"":1776821666288,""openTime"":null,""duration"":14112818,""updatedTime"":1776841200000,""firstVol"":3.45564E7,""highestVol"":3.8227E7,""firstVolDivLTGB"":0.0070523265306122445,""firstVolDivVol"":2.454841937813711,""highestVolDivLTGB"":0.007801428571428571,""highestVolDivVol"":2.55867869449355}]", 09:34:26,91230636.0,0,7156476935.16,4.289727222227628,69972000000.0,17,601061,20260422
603813.SH,*ST原尚,37.0,1.36986301369863,466600,36812000,0.0126752146039335, 09:30:00,申请撤销退市风险警示+氢能物流+供应链服务,涨停,"[{""code"":""603813.SH"",""time"":1776821400000,""openTime"":null,""duration"":14379106,""updatedTime"":1776841200000,""firstVol"":525100.0,""highestVol"":610300.0,""firstVolDivLTGB"":0.005000238061229349,""firstVolDivVol"":3.3531289910600255,""highestVolDivLTGB"":0.005811550730847974,""highestVolDivVol"":3.6198102016607354}]", 09:30:00,14800552.0,0,1167676640.0,0.6351189829403455,3331075800.0,22,603813,20260422
002397.SZ,梦洁股份,4.83,2.5477707006369448,5299400,426454261,0.012426655059263202, 10:43:36,高端家纺+C2M+三胎概念,涨停,"[{""code"":""002397.SZ"",""time"":1776825816476,""openTime"":null,""duration"":9962630,""updatedTime"":1776841200000,""firstVol"":7.3363E7,""highestVol"":7.3363E7,""firstVolDivLTGB"":0.11323860537517418,""firstVolDivVol"":1.8936883079337545,""highestVolDivLTGB"":0.11323860537517418,""highestVolDivVol"":1.8936883079337545}]", 10:43:36,24324246.0,0,1957425057.99,11.11462689781871,2973622769.82,33,002397,20260422
002443.SZ,金洲管道,11.84,0.08453085376162119,4745461,408867293,0.011606360012758467, 11:17:52,焊接钢管+氢能管道+智能机器人+一季报预增,涨停,"[{""code"":""002443.SZ"",""time"":1776827872196,""openTime"":null,""duration"":7906910,""updatedTime"":1776841200000,""firstVol"":3.6193513E7,""highestVol"":3.6193513E7,""firstVolDivLTGB"":0.06967974869025376,""firstVolDivVol"":1.0961649157694624,""highestVolDivLTGB"":0.06967974869025376,""highestVolDivVol"":1.0961649157694624}]", 11:17:52,49732431.28,0,4284929230.64,9.47110778068521,5443590474.56,33,002443,20260422
000062.SZ,深圳华强,36.92,3.562412342215998,3562770,317011237,0.011238623695853406, 13:21:51,分销龙头+存储芯片+华为昇腾+一季报预增,涨停,"[{""code"":""000062.SZ"",""time"":1776835311734,""openTime"":null,""duration"":5888266,""updatedTime"":1776841200000,""firstVol"":6.2869983E7,""highestVol"":6.3405903E7,""firstVolDivLTGB"":0.060168416467635114,""firstVolDivVol"":1.0404475888576323,""highestVolDivLTGB"":0.06068130761559892,""highestVolDivVol"":1.0339883376647812}]", 13:21:51,116288812.8,0,10347246775.68,22.930694724868697,34105538513.28,33,000062,20260422
600330.SH,天通股份,27.89,8.690568978955575,11171377,1000356343,0.01116739757604556, 10:13:42,铌酸锂晶体+光模块+商业航天,涨停,"[{""code"":""600330.SH"",""time"":1776824022092,""openTime"":null,""duration"":11757014,""updatedTime"":1776841200000,""firstVol"":4.27403E7,""highestVol"":5.37992E7,""firstVolDivLTGB"":0.03465145730131792,""firstVolDivVol"":0.2184287011867791,""highestVolDivLTGB"":0.043617398138175514,""highestVolDivVol"":0.2734911970364094}]", 10:13:42,289003522.99,0,25879218593.41,20.728649090996967,31908948341.92,17,600330,20260422
603773.SH,沃格光电,69.35,-0.5592199598508756,1581666,150718835,0.010494149586546367, 10:14:42,玻璃基板+CPO+商业航天,涨停,"[{""code"":""603773.SH"",""time"":1776824082094,""openTime"":null,""duration"":11697012,""updatedTime"":1776841200000,""firstVol"":7265498.0,""highestVol"":7420098.0,""firstVolDivLTGB"":0.032340168294356174,""firstVolDivVol"":0.30756301275949777,""highestVolDivLTGB"":0.03302832346531727,""highestVolDivVol"":0.3135156192728435}]", 10:14:42,101796023.76,0,9700264220.6,16.549506237889908,14459029619.88,17,603773,20260422
002256.SZ,兆新股份,4.59,0.4376367614879556,20305500,1951971797,0.010402558085730375, 13:17:31,盐湖提锂+光伏+精细化工+一季报增长,涨停,"[{""code"":""002256.SZ"",""time"":1776835051854,""openTime"":null,""duration"":6148146,""updatedTime"":1776841200000,""firstVol"":2.488871E8,""highestVol"":2.488871E8,""firstVolDivLTGB"":0.12750547952717167,""firstVolDivVol"":1.1194885943433255,""highestVolDivLTGB"":0.12750547952717167,""highestVolDivVol"":1.1194885943433255}]", 13:17:31,91577805.0,0,8803392804.47,13.118336258420848,8803392804.47,33,002256,20260422
002201.SZ,九鼎新材,13.39,-4.014336917562715,3813300,394413087,0.009668289734006722, 09:32:41,年报增长+商业航天+玻璃纤维+风电叶片,涨停,"[{""code"":""002201.SZ"",""time"":1776821561285,""openTime"":1776821711288,""duration"":150003,""updatedTime"":1776821711288,""firstVol"":3.8222676E7,""highestVol"":3.9474676E7,""firstVolDivLTGB"":0.06349037574385637,""firstVolDivVol"":1.2870073214882178,""highestVolDivLTGB"":0.06557002998971052,""highestVolDivVol"":1.2635179445026996},{""code"":""002201.SZ"",""time"":1776821756339,""openTime"":1776821772435,""duration"":16096,""updatedTime"":1776821772435,""firstVol"":3082400.0,""highestVol"":3082400.0,""firstVolDivLTGB"":0.005120068887716361,""firstVolDivVol"":0.04779248979723218,""highestVolDivLTGB"":0.005120068887716361,""highestVolDivVol"":0.04779248979723218},{""code"":""002201.SZ"",""time"":1776827318323,""openTime"":1776835112582,""duration"":2373365,""updatedTime"":1776835112582,""firstVol"":1.9129471E7,""highestVol"":2.0116071E7,""firstVolDivLTGB"":0.03177530797611354,""firstVolDivVol"":0.13773756516884264,""highestVolDivLTGB"":0.03341411538742323,""highestVolDivVol"":0.14441689872768415},{""code"":""002201.SZ"",""time"":1776839095308,""openTime"":null,""duration"":2104692,""updatedTime"":1776841200000,""firstVol"":6352000.0,""highestVol"":6458200.0,""firstVolDivLTGB"":0.010551089272895902,""firstVolDivVol"":0.035884966086108326,""highestVolDivLTGB"":0.010727494449341358,""highestVolDivVol"":0.03644634635282018}]", 14:24:55,58419756.0,3,6042408492.84,45.66004449035942,9222994658.0,33,002201,20260422
