股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260408],{(}涨停封单量[20260408]{*}100.0{)},自由流通股[20260408],fenglu_ratio,zt_first_time,涨停原因类别[20260408],涨停[20260408],涨停明细数据[20260408],zt_last_time,涨停封单额[20260408],涨停开板次数[20260408],自由流通市值[20260408],实际换手率[20260408],a股市值(不含限售股)[20260408],market_code,code,date
600841.SH,动力新科,8.3,0.6060606060606146,12422900,1242290000,327909410,3.7885158586940215, 09:42:13,柴油发动机+数据中心+年报扭亏+上海国资,涨停,"[{""code"":""600841.SH"",""time"":1775612533588,""openTime"":null,""duration"":13654486,""updatedTime"":1775631600000,""firstVol"":4.71235E7,""highestVol"":4.71235E7,""firstVolDivLTGB"":0.04517966809300711,""firstVolDivVol"":3.552442122562212,""highestVolDivLTGB"":0.04517966809300711,""highestVolDivVol"":3.552442122562212}]", 09:42:13,113421077.00000001,0,2993812913.3,5.375783512891563,9522813538.92,17,600841,20260408
600986.SH,浙文互联,9.99,-6.896551724137933,12262217,1226221700,1288853242,0.9514052182521492, 10:12:25,AI营销+算力租赁+浙江国资,涨停,"[{""code"":""600986.SH"",""time"":1775614345632,""openTime"":null,""duration"":11842442,""updatedTime"":1775631600000,""firstVol"":5.57236E7,""highestVol"":6.04324E7,""firstVolDivLTGB"":0.03746441559231655,""firstVolDivVol"":0.6518116549776267,""highestVolDivLTGB"":0.04063026345823153,""highestVolDivVol"":0.6921396309620943}]", 10:12:25,123848391.7,0,13017417744.2,7.4477697593439425,15022478026.2,17,600986,20260408
600743.SH,华远控股,2.47,2.9166666666666785,12014495,1201449500,1068870535,1.1240365045706868, 11:04:53,物业+轻资产转型+国企,涨停,"[{""code"":""600743.SH"",""time"":1775617493452,""openTime"":null,""duration"":8694622,""updatedTime"":1775631600000,""firstVol"":5.5475563E7,""highestVol"":6.8253113E7,""firstVolDivLTGB"":0.023645855817536345,""firstVolDivVol"":0.4447802201480597,""highestVolDivLTGB"":0.029092147637979186,""highestVolDivVol"":0.544675690026937}]", 11:04:53,26311744.05,0,2340826471.65,13.029246147195927,5137960914.06,17,600743,20260408
002716.SZ,湖南白银,11.56,1.2259194395796897,11514830,1151483000,2011323282,0.5725002093422792, 10:50:52,银价大涨+湖南国资+全产业链,涨停,"[{""code"":""002716.SZ"",""time"":1775616652425,""openTime"":1775617103450,""duration"":451025,""updatedTime"":1775617103450,""firstVol"":1.56753E7,""highestVol"":2.5507E7,""firstVolDivLTGB"":0.006742487248329544,""firstVolDivVol"":0.10142618993452167,""highestVolDivLTGB"":0.010971440562103543,""highestVolDivVol"":0.16290497761022543},{""code"":""002716.SZ"",""time"":1775624691454,""openTime"":null,""duration"":6908546,""updatedTime"":1775631600000,""firstVol"":2.85999E7,""highestVol"":3.01669E7,""firstVolDivLTGB"":0.012301803541463329,""firstVolDivVol"":0.14263796268787318,""highestVolDivLTGB"":0.012975824295013972,""highestVolDivVol"":0.149919742204975}]", 13:04:51,143820226.7,1,25121427792.18,10.567291936712142,29037429332.7,33,002716,20260408
000551.SZ,创元科技,16.28,3.299492385786811,11085354,1108535400,312105938,3.551792084135227, 09:38:11,年报增长+商业航天+洁净环保+苏州国资,涨停,"[{""code"":""000551.SZ"",""time"":1775612291061,""openTime"":null,""duration"":13897013,""updatedTime"":1775631600000,""firstVol"":5.133982E7,""highestVol"":5.133982E7,""firstVolDivLTGB"":0.1059542182641682,""firstVolDivVol"":5.705023471908995,""highestVolDivLTGB"":0.1059542182641682,""highestVolDivVol"":5.705023471908995}]", 09:38:11,154529834.76,0,4350756775.72,3.6430005378494275,6754587995.88,33,000551,20260408
600186.SH,莲花控股,10.72,-0.9242144177449135,11070860,1107086000,1433112096,0.7725048187716922, 09:32:59,业绩预增+算力租赁+调味品,涨停,"[{""code"":""600186.SH"",""time"":1775611979965,""openTime"":1775611994965,""duration"":15000,""updatedTime"":1775611994965,""firstVol"":1.3826013E7,""highestVol"":1.3826013E7,""firstVolDivLTGB"":0.007766165215990852,""firstVolDivVol"":0.28672687662730206,""highestVolDivLTGB"":0.007766165215990852,""highestVolDivVol"":0.28672687662730206},{""code"":""600186.SH"",""time"":1775612039966,""openTime"":null,""duration"":14148108,""updatedTime"":1775631600000,""firstVol"":3.2551429E7,""highestVol"":5.9483906E7,""firstVolDivLTGB"":0.01828435830565152,""firstVolDivVol"":0.45679022255316115,""highestVolDivLTGB"":0.033412513187168966,""highestVolDivVol"":0.6214325513892697}]", 09:33:59,84470661.8,1,10934645292.48,8.599324180151223,13583599660.33,17,600186,20260408
002342.SZ,巨力索具,19.81,4.814814814814816,10329627,1032962700,742070000,1.3920016979530232, 13:00:42,商业航天+深海系泊+索具龙头,涨停,"[{""code"":""002342.SZ"",""time"":1775624442409,""openTime"":null,""duration"":7157591,""updatedTime"":1775631600000,""firstVol"":6.2642499E7,""highestVol"":1.22442528E8,""firstVolDivLTGB"":0.06561553907551142,""firstVolDivVol"":0.5867635690898202,""highestVolDivLTGB"":0.128253703296358,""highestVolDivVol"":1.1268530570513078}]", 13:00:42,146370814.59,0,10515131900.0,17.482177826889647,13527957300.0,33,002342,20260408
002400.SZ,省广集团,8.96,5.660377358490571,10270297,1027029700,1397012883,0.735161223276994, 10:33:42,AI营销+出海营销+广东国资,涨停,"[{""code"":""002400.SZ"",""time"":1775615622961,""openTime"":1775615657423,""duration"":34462,""updatedTime"":1775615657423,""firstVol"":8598600.0,""highestVol"":3.31825E7,""firstVolDivLTGB"":0.004981332550983849,""firstVolDivVol"":0.07481018240830721,""highestVolDivLTGB"":0.01922325347998762,""highestVolDivVol"":0.27937488290271095},{""code"":""002400.SZ"",""time"":1775630077856,""openTime"":null,""duration"":1522144,""updatedTime"":1775631600000,""firstVol"":2.4134197E7,""highestVol"":2.4134197E7,""firstVolDivLTGB"":0.013981399426413223,""firstVolDivVol"":0.11051598095480925,""highestVolDivLTGB"":0.013981399426413223,""highestVolDivVol"":0.11051598095480925}]", 14:34:37,89967801.72,1,12237832855.08,15.831023370741528,15121202053.68,33,002400,20260408
300209.SZ,行云科技,17.47,2.583675866118601,10030057,1003005700,681655145,1.4714268752420259, 09:33:14,服务器租赁+算力+跨境电商,涨停,"[{""code"":""300209.SZ"",""time"":1775611994965,""openTime"":null,""duration"":14193109,""updatedTime"":1775631600000,""firstVol"":5.691393E7,""highestVol"":7.571703E7,""firstVolDivLTGB"":0.07748031843113186,""firstVolDivVol"":1.9875822230712294,""highestVolDivLTGB"":0.10307809696254615,""highestVolDivVol"":2.2478997478138747}]", 09:33:14,117251366.33,0,7968548645.05,11.007193087349176,8587004482.84,33,300209,20260408
601002.SH,晋亿实业,6.22,-0.7974481658692157,9798489,979848900,524971293,1.8664809163193614, 10:19:24,高铁扣件+业绩大增+海峡两岸,涨停,"[{""code"":""601002.SH"",""time"":1775614764987,""openTime"":null,""duration"":11423087,""updatedTime"":1775631600000,""firstVol"":5.84799E7,""highestVol"":5.84799E7,""firstVolDivLTGB"":0.06127137995537324,""firstVolDivVol"":1.3847896931120354,""highestVolDivLTGB"":0.06127137995537324,""highestVolDivVol"":1.3847896931120354}]", 10:19:24,57027205.980000004,0,3055332925.26,10.670598325459293,5554844990.4,17,601002,20260408
