股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260416],p_open,p_close,chg_pct,涨跌幅:前复权排名[20260416],p_high,p_low,竞价匹配价[20260416],竞价异动类型[20260416],竞价异动说明[20260416],集合竞价评级[20260416],竞价量[20260416],竞价金额[20260416],竞价未匹配量[20260416],竞价未匹配金额[20260416],开盘价:前复权[20260416],最高价:前复权[20260416],最低价:前复权[20260416],收盘价:前复权[20260416],振幅[20260416],成交量[20260416],market_code,code,date
002192.SZ,融捷股份,109.22,10.001007150770462,1.342,76.29,80.02,6.29649309,230/5521,81.8,75,76.29,竞价抢筹,单笔放量10%以上抢筹,看多,209900,16013271.0,-613,-46765.77,76.29,81.8,75,80.02,9.032943,3.7189815E7,33,002192,20260416
688257.SH,新锐股份,75.88,-4.4693440765454,1.836,76,79.32,6.28433606,231/5521,80.53,75.11,76.0,,,,81524,6195824.0,-28279,-2149204.0,76,80.53,75.11,79.32,7.262494,1.2256472E7,17,688257,20260416
603335.SH,迪生力,7.07,-2.4827586206896513,1.358,5.97,6.26,6.28183362,232/5521,6.48,5.87,5.97,,,,142400,850128.0,-33900,-202383.0,5.97,6.48,5.87,6.26,10.356536,3.9041285E7,17,603335,20260416
002511.SZ,中顺洁柔,8.53,-3.2879818594104413,0.602,8.35,8.82,6.26506024,233/5521,8.84,8.32,8.35,,,,88500,738975.0,-27800,-232130.0,8.35,8.84,8.32,8.82,6.26506,3.9971935E7,33,002511,20260416
603206.SH,嘉环科技,16.6,-0.7177033492822814,1.151,16.7,17.54,6.23864325,235/5521,18.16,16.6,16.7,,,,111500,1862050.0,-3700,-61790.0,16.7,18.16,16.6,17.54,9.448818,1.8974903E7,17,603206,20260416
002353.SZ,杰瑞股份,137.0,7.662082514734774,0.018,109.5,116.3,6.2294483,236/5521,117.34,109.11,109.5,竞价砸盘,单笔放量10%以上砸盘,偏空,76300,8354850.0,3100,339450.0,109.5,117.34,109.11,116.3,7.517354,2.3711836E7,33,002353,20260416
688507.SH,索辰科技,91.65,0.869469513537317,1.567,88.8,92.84,6.18780739,239/5521,94.1,87.88,88.8,,,,6980,619824.0,-395,-35076.0,88.8,94.1,87.88,92.84,7.114262,2974311,17,688507,20260416
603067.SH,振华股份,34.98,-1.6033755274261612,2.241,36.5,37.9,6.16246499,241/5521,38,36.31,36.5,,,,581383,21220480.0,96117,3508270.5,36.5,38,36.31,37.9,4.733893,4.0303848E7,17,603067,20260416
603308.SH,应流股份,75.58,-1.0862452558565612,0.385,65.26,69.0,6.13751731,242/5521,69.9,64.7,65.26,大买单试盘,大买单试盘513万元,-,53040,3461390.4,9360,610833.6,65.26,69.9,64.7,69.0,7.998769,2.6422707E7,17,603308,20260416
600176.SH,中国巨石,34.5,-3.3613445378151336,3.28,32.12,33.0,6.10932476,246/5521,33.87,31.82,32.12,大买单试盘,大买单试盘4347万元,-,3333200,107062384.0,-326460,-10485895.2,32.12,33.87,31.82,33.0,6.591639,1.70250125E8,17,600176,20260416
301321.SZ,翰博高新,26.27,-1.7943925233644875,0.86,22.29,23.45,6.10859729,247/5521,23.8,21.67,22.29,,,,13900,309831.0,-3000,-66870.0,22.29,23.8,21.67,23.45,9.638009,8042910,33,301321,20260416
