股票代码,股票简称,最新价,chg_pct,分时买二量[20260417 09:15],{(}分时买二量[20260417 09:15]{*}100.0{)},自由流通股[20260417],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260417 09:15],分时买四量[20260417 09:15],分时买五量[20260417 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
002634.SZ,*ST棒杰,5.31,4.940711462450594,17620.0,1762000,334905233,0.00526118981246256,800.0,80000.0,334905233,0.00023887354426617752,1.976284584980248,2,9/248,430097850.0,11.881188118811876,0.0,0.0,0.0,1530800,7898928.0,0.3461506354538077,5.16,18000.0,6000.0,256700.0,33,002634,20260417
002805.SZ,丰元股份,22.85,10.014443909484843,27100.0,2710000,194198691,0.013954779952661988,7100.0,710000.0,194198691,0.0036560493602915173,9.19595570534424,2,9/248,1282484502.0,24.346405228758183,0.0,0.0,0.0,3078200,69813576.0,1.1040282944569064,22.68,5200.0,100.0,100.0,33,002805,20260417
300632.SZ,光莆股份,24.47,20.009808729769485,800.0,80000,191668694,0.0004173868894833707,5300.0,530000.0,191668694,0.002765188142827331,20.009808729769496,2,9/248,1418907303.0,43.068181818181806,0.0,0.0,0.0,6495900,158954670.0,2.9367226262292303,24.47,100.0,1200.0,100.0,33,300632,20260417
600730.SH,*ST高科,8.97,5.0351288056206265,11200.0,1120000,469173018,0.0023871790512897738,13490800,1349080000.0,469173018,2.8754424236732214,5.035128805620626,2,9/248,496521399.0,13.15468940316688,0.0,0.0,0.0,349500,3135015.0,0.059574946614114756,8.97,1000.0,55900.0,3000.0,22,600730,20260417
603272.SH,*ST联翔,26.8,5.015673981191227,700.0,70000,45163500,0.0015499241644248121,3331500.0,333150000.0,45163500,7.37653193397323,5.0156739811912265,2,9/248,144448209.0,10.2880658436214,0.0,0.0,0.0,44300,1187240.0,0.04274947648778793,26.8,500.0,800.0,1700.0,22,603272,20260417
603937.SH,丽岛新材,15.25,10.028860028860034,1800.0,180000,77155124,0.002332962357756045,700.0,70000.0,77155124,0.0009072631391273508,2.020202020202033,2,9/248,714244432.0,23.73696872493986,0.0,0.0,0.0,587100,8301594.0,0.2810563133161207,14.14,300.0,1500.0,100.0,17,603937,20260417
605099.SH,共创草坪,48.42,9.995456610631528,1000.0,100000,51141822,0.0019553468392268076,4100.0,410000.0,51141822,0.00801692204082991,1.9990913221263007,2,9/248,753988306.0,23.698113207547173,0.0,0.0,0.0,203300,9128170.0,0.05064105623822063,44.9,22000.0,5200.0,1600.0,17,605099,20260417
000752.SZ,*ST西发,10.0,-1.1857707509881346,21500.0,2150000,214073042,0.010043301014987212,70100.0,7010000.0,214073042,0.03274583261165598,-3.162055335968361,1,38/248,233177949.2,13.116370808678502,0.0,0.0,0.0,339300,3325140.0,0.1286404083954211,9.8,300.0,13900.0,1200.0,33,000752,20260417
000889.SZ,中嘉博创,4.42,-8.108108108108103,44500.0,4450000,643753128,0.006912587770757986,62099.0,6209900.0,643753128,0.009646399729804498,-2.494802494802484,1,38/248,3121807235.0,13.677130044843056,0.0,0.0,0.0,2860601,13416218.7,0.3288632480338058,4.69,168800.0,922400.0,47900.0,33,000889,20260417
000908.SZ,ST景峰,7.12,-3.3921302578018997,3700.0,370000,654409176,0.0005653954950044893,55450.0,5545000.0,654409176,0.008473291945405118,-1.4925373134328401,1,38/248,517337452.0,10.845070422535217,0.0,0.0,0.0,612250,4444935.0,0.06959172411511326,7.26,4000.0,21500.0,77600.0,33,000908,20260417
