股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
603272.SH,*ST联翔,26.8,5.015673981191227,26.8,26.8,37.02,10.01485884,37/5521,26.8,26.8,37.02,34.1,26.8,26.8,26.8,0,34.1,37.02,34.1,37.02,8.677563,4548100,22,603272,20260410
001269.SZ,欧晶科技,21.56,0.7476635514018699,21.3,21.3,23.18,10.01423825,38/5521,21.59,21.23,23.18,22.57,21.3,21.3,21.3,0,23.18,23.18,22.57,23.18,2.895111,4504274,33,001269,20260410
002824.SZ,和胜股份,25.09,-2.5631067961165055,25.73,25.73,25.27,10.01306051,39/5521,25.74,24.73,25.27,24.32,25.73,25.73,25.73,0,24.77,25.27,24.32,25.27,4.135829,2.7751906E7,33,002824,20260410
601999.SH,出版传媒,7.31,-1.8791946308724907,7.41,7.41,8.46,10.0130039,40/5521,7.5,7.3,8.46,7.67,7.41,7.41,7.41,0,7.7,8.46,7.67,8.46,10.273081,2.1467298E7,17,601999,20260410
003036.SZ,泰坦股份,32.75,-6.562054208273887,34.3,34.3,26.48,10.01246365,41/5521,35.82,32.08,26.48,24.01,34.3,34.3,34.3,0,24.29,26.48,24.01,26.48,10.261736,8947302,33,003036,20260410
002988.SZ,豪美新材,34.65,0.5513639001741083,34.53,34.53,35.38,10.01243781,42/5521,35.2,34.46,35.38,31.8,34.53,34.53,34.53,0,32.44,35.38,31.8,35.38,11.13184,9956710,33,002988,20260410
002328.SZ,新朋股份,10.35,-2.9990627928772287,10.77,10.77,10.11,10.01088139,43/5521,10.78,10.15,10.11,9.66,10.77,10.77,10.77,0,9.78,10.11,9.66,10.11,4.896626,7.1999775E7,33,002328,20260410
600482.SH,中国动力,38.57,-3.2605969400551724,41.97,41.97,40.44,10.01088139,43/5521,42.38,38.51,40.44,39.5,41.97,41.97,41.97,0,39.5,40.44,39.5,40.44,2.557127,4.4684798E7,17,600482,20260410
605060.SH,联德股份,58.54,-1.6960537363560002,58.96,58.96,59.03,10.00745434,45/5521,60.75,58.1,59.03,54.57,58.96,58.96,58.96,0,55.7,59.03,54.57,59.03,8.311591,7029500,17,605060,20260410
002074.SZ,国轩高科,36.74,-2.6754966887417164,37.5,37.5,38.81,10.00566893,46/5521,37.96,36.69,38.81,35.68,37.5,37.5,37.5,0,35.7,38.81,35.68,38.81,8.871882,1.04898811E8,33,002074,20260410
