股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
688388.SH,嘉元科技,50.18,-1.8003913894324886,1.015,46.76,46.76,1.015338085979689,1316/5521,46.76,46.76,0,46.76,,,,92370,4319221.2,-4360,-203873.6,92370,4319221.2,0.020271080327003227,17,688388,20260414
920130.BJ,立方控股,18.9,1.17773019271948,1.015,19.9,19.9,1.0152284263959421,1317/5521,19.9,19.9,0,19.9,,,,2176,43302.4,-126,-2507.4,2176,43302.0,0.0038453641246153154,151,920130,20260414
688515.SH,裕太微,172.6,13.418320410040732,1.015,128.4,128.4,1.014869011092756,1318/5521,128.4,128.4,0,128.4,,,,6720,862848.0,1376,176678.4,6720,862848.0,0.013488721261195437,17,688515,20260414
002965.SZ,祥鑫科技,29.43,-0.7085020242915009,1.015,30.86,30.86,1.0147299509001506,1319/5521,30.86,30.86,0,30.86,,,,26900,830134.0,500,15430.0,26900,830134.0,0.013489009608783168,33,002965,20260414
002180.SZ,奔图科技,19.16,1.8065887353878844,1.014,16.93,16.93,1.0143198090692085,1320/5521,16.93,16.93,0,16.93,,,,83900,1420427.0,1000,16930.0,83900,1420427.0,0.00614608879014492,33,002180,20260414
301019.SZ,宁波色母,22.87,0.8822232024702218,1.014,20.92,20.92,1.014002897151145,1321/5521,20.92,20.92,0,20.92,,,,7000,146440.0,-4000,-83680.0,7000,146440.0,0.0066915547254798756,33,301019,20260414
603073.SH,彩蝶实业,21.0,1.6949152542372952,1.013,19.94,19.94,1.0131712259372039,1322/5521,19.94,19.94,0,19.94,,,,9200,183448.0,-1800,-35892.0,9200,183448.0,0.018077196230008585,17,603073,20260414
000633.SZ,合金投资,6.83,0.14662756598240156,1.013,6.98,6.98,1.013024602026058,1323/5521,6.98,6.98,0,6.98,,,,46000,321080.0,14600,101908.0,46000,321080.0,0.011944840089141434,33,000633,20260414
300351.SZ,永贵电器,22.7,1.9766397124887587,1.013,15.96,15.96,1.0126582278481067,1324/5521,15.96,15.96,0,15.96,,,,40300,643188.0,-6800,-108528.0,40300,643188.0,0.015299280675276992,33,300351,20260414
002009.SZ,天奇股份,23.22,0.17256255392579442,1.012,24.95,24.95,1.0121457489878471,1325/5521,24.95,24.95,0,24.95,,,,52000,1297400.0,-7000,-174650.0,52000,1297400.0,0.014684181284136115,33,002009,20260414
