股票代码,股票简称,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260430],p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
603096.SH,新经典,18.09,18.09,18.44,1.76600442,1298/5521,18.47,18,18.09,18.09,18.09,0,18.09,18.47,18,18.44,2.593818,2369420,17,603096,20260430
601727.SH,上海电气,8.03,8.03,8.08,1.76322418,1299/5521,8.09,7.99,8.03,8.03,8.03,0,8.03,8.09,7.99,8.08,1.259445,1.325151E8,17,601727,20260430
603273.SH,天元智能,17.65,17.65,17.91,1.76136364,1300/5521,17.94,17.58,17.65,17.65,17.65,0,17.65,17.94,17.58,17.91,2.045454,1686600,17,603273,20260430
300382.SZ,斯莱克,15.57,15.57,15.6,1.76125245,1301/5521,16,15.3,15.57,15.57,15.57,0,15.57,16,15.3,15.6,4.56621,2.4442372E7,33,300382,20260430
301522.SZ,上大股份,31.15,31.15,31.79,1.76056338,1302/5521,31.85,31.07,31.15,31.15,31.15,0,31.15,31.85,31.07,31.79,2.496798,4585705,33,301522,20260430
688561.SH,奇安信,29.59,29.59,30.11,1.75735046,1303/5521,30.59,29.53,29.59,29.59,29.59,0,29.59,30.59,29.53,30.11,3.582291,7125024,17,688561,20260430
002681.SZ,奋达科技,5.12,5.12,5.22,1.75438596,1304/5521,5.23,5.07,5.12,5.12,5.12,0,5.12,5.23,5.07,5.22,3.118908,3.3667837E7,33,002681,20260430
301133.SZ,金钟股份,45.39,45.39,46.4,1.75438596,1304/5521,46.65,44.68,45.39,45.39,45.39,0,45.39,46.65,44.68,46.4,4.320175,3401692,33,301133,20260430
001255.SZ,博菲电气,34.24,34.24,34.82,1.75336061,1306/5521,34.83,33.9,34.24,34.24,34.24,0,34.24,34.83,33.9,34.82,2.717708,1680600,33,001255,20260430
600295.SH,鄂尔多斯,15.55,15.55,15.67,1.75324675,1307/5521,16.05,15.5,15.55,15.55,15.55,0,15.55,16.05,15.5,15.67,3.571428,1.1732733E7,17,600295,20260430
688259.SH,创耀科技,37.6,37.6,38.32,1.75252257,1308/5521,38.53,37.08,37.6,37.6,37.6,0,37.6,38.53,37.08,38.32,3.850238,2928349,17,688259,20260430
603285.SH,键邦股份,42.63,42.63,43.59,1.75070028,1309/5521,44.4,42.12,42.63,42.63,42.63,0,42.63,44.4,42.12,43.59,5.322128,4026134,17,603285,20260430
688627.SH,精智达,285.74,285.74,293.03,1.75006077,1310/5521,299.38,276.36,285.74,285.74,285.74,0,285.74,299.38,276.36,293.03,7.993333,5619859,17,688627,20260430
300443.SZ,金雷股份,29.8,29.8,30.28,1.74731183,1311/5521,30.68,29.65,29.8,29.8,29.8,0,29.8,30.68,29.65,30.28,3.461021,1.2959846E7,33,300443,20260430
688076.SH,ST诺泰,29.59,29.59,29.73,1.74537988,1312/5521,29.99,29.58,29.59,29.59,29.59,0,29.59,29.99,29.58,29.73,1.403148,2061113,22,688076,20260430
301119.SZ,正强股份,40.2,40.2,40.9,1.74129353,1313/5521,40.96,39.8,40.2,40.2,40.2,0,40.2,40.96,39.8,40.9,2.885572,1034500,33,301119,20260430
600893.SH,航发动力,45.4,45.4,46.25,1.73779147,1314/5521,46.75,45.21,45.4,45.4,45.4,0,45.4,46.75,45.21,46.25,3.387593,2.8526168E7,17,600893,20260430
920055.BJ,隆源股份,34.51,34.51,35.13,1.73761946,1315/5521,35.96,34.17,34.51,34.51,34.51,0,34.51,35.96,34.17,35.13,5.183898,2162147,151,920055,20260430
301510.SZ,固高科技,38.22,38.22,38.66,1.73684211,1316/5521,39.78,38,38.22,38.22,38.22,0,38.22,39.78,38,38.66,4.68421,1.6380393E7,33,301510,20260430
002404.SZ,嘉欣丝绸,6.92,6.92,7.04,1.73410405,1317/5521,7.11,6.91,6.92,6.92,6.92,0,6.92,7.11,6.91,7.04,2.890173,1.0953412E7,33,002404,20260430
002527.SZ,新时达,12.66,12.66,12.92,1.73228346,1318/5521,13,12.65,12.66,12.66,12.66,0,12.66,13,12.65,12.92,2.755905,7380933,33,002527,20260430
301448.SZ,开创电气,38.76,38.76,39.35,1.73216132,1319/5521,39.54,38.44,38.76,38.76,38.76,0,38.76,39.54,38.44,39.35,2.843846,747570,33,301448,20260430
605296.SH,神农集团,29.47,29.47,29.96,1.73174873,1320/5521,30.38,29.25,29.47,29.47,29.47,0,29.47,30.38,29.25,29.96,3.837011,4153710,17,605296,20260430
603307.SH,扬州金泉,41.22,41.22,42.32,1.73076923,1321/5521,42.57,41.22,41.22,41.22,41.22,0,41.22,42.57,41.22,42.32,3.245192,909500,17,603307,20260430
003001.SZ,中岩大地,16.77,16.77,17.05,1.73031026,1322/5521,17.18,16.59,16.77,16.77,16.77,0,16.77,17.18,16.59,17.05,3.520286,3320899,33,003001,20260430
688399.SH,硕世生物,60.49,60.49,61.75,1.72981878,1323/5521,63.38,60.11,60.49,60.49,60.49,0,60.49,63.38,60.11,61.75,5.387149,1395358,17,688399,20260430
000691.SZ,*ST亚太,7.58,7.58,7.65,1.7287234,1324/5521,7.74,7.53,7.58,7.58,7.58,0,7.58,7.74,7.53,7.65,2.792553,8107000,33,000691,20260430
920158.BJ,长江能科,16.31,16.31,16.48,1.72839506,1325/5521,16.53,16.23,16.31,16.31,16.31,0,16.31,16.53,16.23,16.48,1.851851,2525219,151,920158,20260430
301167.SZ,建研设计,17.44,17.44,17.72,1.72215844,1326/5521,17.77,17.34,17.44,17.44,17.44,0,17.44,17.77,17.34,17.72,2.468427,2729574,33,301167,20260430
688377.SH,迪威尔,37.2,37.2,37.89,1.71812081,1327/5521,37.99,36.81,37.2,37.2,37.2,0,37.2,37.99,36.81,37.89,3.167785,1359696,17,688377,20260430
002659.SZ,凯文教育,5.25,5.25,5.34,1.71428571,1328/5521,5.36,5.24,5.25,5.25,5.25,0,5.25,5.36,5.24,5.34,2.285714,1.27684E7,33,002659,20260430
300211.SZ,*ST亿通,8.77,8.77,8.9,1.71428571,1328/5521,8.93,8.75,8.77,8.77,8.77,0,8.77,8.93,8.75,8.9,2.057142,4195490,33,300211,20260430
002757.SZ,南兴股份,22.94,22.94,23.16,1.71277997,1330/5521,24.25,22.89,22.94,22.94,22.94,0,22.94,24.25,22.89,23.16,5.972771,3.2604313E7,33,002757,20260430
688658.SH,悦康药业,19.18,19.18,19.6,1.71250649,1331/5521,20.14,19.18,19.18,19.18,19.18,0,19.18,20.14,19.18,19.6,4.981837,1.113908E7,17,688658,20260430
002246.SZ,北化股份,23.93,23.93,24.36,1.71189979,1332/5521,24.49,23.28,23.93,23.93,23.93,0,23.93,24.49,23.28,24.36,5.052192,2.2622647E7,33,002246,20260430
603703.SH,盛洋科技,13.33,13.33,13.68,1.71003717,1333/5521,13.75,13.22,13.33,13.33,13.33,0,13.33,13.75,13.22,13.68,3.94052,9399840,17,603703,20260430
605339.SH,南侨食品,15.84,15.84,16.1,1.70562224,1334/5521,16.12,15.77,15.84,15.84,15.84,0,15.84,16.12,15.77,16.1,2.210991,1365000,17,605339,20260430
