股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
000631.SZ,顺发恒能,3.21,3.23,-0.31055901,3.24,0.51996952,20000127,654/870,3.18,3.57068629,20001205,3.23,3.24,3.18,3.21,1.863354,1.6518E7,33,000631,20260430
000591.SZ,太阳能,4.99,5.13,-2.91828794,5.13,0.51882624,20000117,655/870,4.96,1.38780275,20001227,5.13,5.13,4.96,4.99,3.307392,1.12769824E8,33,000591,20260430
000761.SZ,本钢板材,2.95,3.01,-2.64026403,3.05,0.51060284,20000124,656/870,2.92,3.57776701,20001205,3.01,3.05,2.92,2.95,4.290429,2.0928399E7,33,000761,20260430
600827.SH,百联股份,8.27,8.37,0.36407767,8.39,0.49870208,20000104,657/870,8.25,5.03309245,20001208,8.37,8.39,8.25,8.27,1.699029,2.440656E7,17,600827,20260430
600662.SH,外服控股,5.07,5.06,0,5.1,0.49305793,20000104,658/870,5.03,2.73358284,20001207,5.06,5.1,5.03,5.07,1.38067,1.2172475E7,17,600662,20260430
600323.SH,瀚蓝环境,32.01,32.33,-1.41669233,32.33,0.4814477,20001225,659/870,31.68,1.55927842,20001228,32.33,32.33,31.68,32.01,2.001847,6936185,17,600323,20260430
600790.SH,轻纺城,4.2,4.11,2.18978102,4.29,0.46255552,20000117,660/870,4.08,1.52138512,20001222,4.11,4.29,4.08,4.2,5.109489,5.1145668E7,17,600790,20260430
000011.SZ,深物业A,8.07,8.13,0,8.15,0.4609516,20000124,661/870,7.92,4.74479725,20001205,8.13,8.15,7.92,8.07,2.850061,8823011,33,000011,20260430
600055.SH,万东医疗,14.45,14.8,-4.05046481,14.91,0.44885455,20000104,662/870,14.44,2.61546813,20001222,14.8,14.91,14.44,14.45,3.120849,9224992,17,600055,20260430
000637.SZ,茂化实华,4.82,4.73,1.90274841,4.84,0.44715615,20000104,663/870,4.71,3.65798888,20001229,4.73,4.84,4.71,4.82,2.748414,1.19756E7,33,000637,20260430
000887.SZ,中鼎股份,17.4,17.44,-0.57142857,17.65,0.44312308,20000104,664/870,17.29,1.43203374,20001201,17.44,17.65,17.29,17.4,2.057142,1.7953443E7,33,000887,20260430
600888.SH,新疆众和,8.62,8.73,-1.71037628,8.74,0.43163643,20000104,665/870,8.53,1.85402561,20001227,8.73,8.74,8.53,8.62,2.394526,2.8403643E7,17,600888,20260430
000598.SZ,兴蓉环境,6.9,6.95,-1.00430416,6.96,0.41673771,20000104,666/870,6.83,0.64816688,20001204,6.95,6.96,6.83,6.9,1.865136,2.778896E7,33,000598,20260430
600739.SH,辽宁成大,11.9,11.94,0,12.2,0.4136978,20000104,667/870,11.87,2.10064298,20001205,11.94,12.2,11.87,11.9,2.773109,1.9642963E7,17,600739,20260430
600063.SH,皖维高新,7.04,7.16,-1.81311018,7.22,0.40954906,20000104,668/870,7.01,1.10122475,20001221,7.16,7.22,7.01,7.04,2.92887,4.2170928E7,17,600063,20260430
000719.SZ,中原传媒,13.42,13.67,-1.97224251,13.8,0.4075484,20000104,669/870,13.3,4.37040522,20001201,13.67,13.8,13.3,13.42,3.6523,8231820,33,000719,20260430
600388.SH,龙净环保,18.62,18.77,-1.48148148,18.84,0.407,20001229,670/870,18.51,0.641375,20001229,18.77,18.84,18.51,18.62,1.746031,1.201135E7,17,600388,20260430
000777.SZ,中核科技,19.86,19.7,0.60790274,19.87,0.40340316,20000124,671/870,19.58,3.03713131,20001204,19.7,19.87,19.58,19.86,1.469098,6695594,33,000777,20260430
600500.SH,中化国际,4.6,4.45,3.83747178,4.72,0.38839728,20001201,672/870,4.38,0.66966054,20001215,4.45,4.72,4.38,4.6,7.674943,7.2963184E7,17,600500,20260430
600780.SH,通宝能源,6.82,6.92,-1.44508671,6.93,0.38289617,20000104,673/870,6.72,1.43480874,20001229,6.92,6.93,6.72,6.82,3.034682,2.1999095E7,17,600780,20260430
600061.SH,国投资本,6.71,6.63,2.59938838,6.79,0.37915192,20000104,674/870,6.61,2.45176086,20001225,6.63,6.79,6.61,6.71,2.752293,9.0717803E7,17,600061,20260430
600162.SH,香江控股,1.89,1.8,5,1.9,0.36719838,20000104,675/870,1.79,1.58569996,20001205,1.8,1.9,1.79,1.89,6.111111,8.0445737E7,17,600162,20260430
600166.SH,福田汽车,3.53,3.7,-4.59459459,3.72,0.3520423,20001218,676/870,3.51,0.62134618,20000118,3.7,3.72,3.51,3.53,5.675675,3.03059304E8,17,600166,20260430
000850.SZ,华茂股份,4.54,4.59,-1.08932462,4.65,0.33925555,20000104,677/870,4.52,1.64891911,20001219,4.59,4.65,4.52,4.54,2.832244,9185780,33,000850,20260430
600708.SH,光明地产,3.8,3.74,1.60427807,3.9,0.3286711,20000128,678/870,3.68,1.6037493,20001219,3.74,3.9,3.68,3.8,5.882352,6.4484545E7,17,600708,20260430
600686.SH,金龙汽车,15.54,16.28,-5.24390244,16.39,0.32243332,20000124,679/870,15.43,2.18558003,20001227,16.28,16.39,15.43,15.54,5.853658,3.2278971E7,17,600686,20260430
600828.SH,茂业商业,5.0,5.05,-0.39840637,5.09,0.31353735,20000105,680/870,4.98,2.53684774,20001204,5.05,5.09,4.98,5.0,2.191235,1.35527E7,17,600828,20260430
600320.SH,振华重工,5.42,5.33,0.9310987,5.45,0.30555556,20001221,681/870,5.3,0.45512821,20001229,5.33,5.45,5.3,5.42,2.793296,9.4302564E7,17,600320,20260430
600616.SH,金枫酒业,5.0,5.06,-0.79365079,5.06,0.28055746,20000104,682/870,4.95,1.72002427,20001208,5.06,5.06,4.95,5.0,2.182539,1.033573E7,17,600616,20260430
000567.SZ,海德股份,6.67,6.26,10.0660066,6.67,0.2796508,20000124,683/870,6.19,1.88127731,20001213,6.26,6.67,6.19,6.67,7.920792,1.5603989E8,33,000567,20260430
600125.SH,铁龙物流,6.14,6.1,1.32013201,6.2,0.26561557,20000113,684/870,6.09,0.73245263,20000107,6.1,6.2,6.09,6.14,1.815181,2.5729868E7,17,600125,20260430
