股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260428],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260428],最高价:前复权[20260428],最低价:前复权[20260428],收盘价:前复权[20260428],振幅[20260428],成交量[20260428],market_code,code,date
600859.SH,王府井,12.37,-0.5627009646302273,12.26,12.38,-1.36765889,12.43,-3.97909091,20000104,838/870,12.19,-1.09307692,20001201,12.38,12.43,12.19,12.26,1.930812,1.1991803E7,17,600859,20260428
000408.SZ,藏格矿业,89.26,-1.9228656191627294,88.73,89.09,-1.33437118,89.99,-4.02450888,20000104,839/870,87.51,-1.01596187,20001225,89.09,89.99,87.51,88.73,2.7577,9267969,33,000408,20260428
000786.SZ,北新建材,25.94,-0.8788689338937731,25.15,24.65,1.32957293,25.29,-4.07661923,20000106,840/870,24.3,-2.52293333,20001219,24.65,25.29,24.3,25.15,3.988718,1.6463409E7,33,000786,20260428
600183.SH,生益科技,76.51,-1.9102564102564037,76.62,77.34,-0.06521456,78.1,-4.08024169,20000104,841/870,74.09,-0.32263302,20001213,77.34,78.1,74.09,76.62,5.230207,6.2563826E7,17,600183,20260428
600690.SH,海尔智家,21.53,-0.5083179297597016,21.34,20.41,3.99610136,21.36,-4.46119532,20000104,842/870,20.34,-3.29852697,20001205,20.41,21.36,20.34,21.34,4.97076,1.24919291E8,17,600690,20260428
600177.SH,雅戈尔,7.69,1.9893899204244079,7.45,7.56,-2.48691099,7.57,-5.25462585,20000117,843/870,7.25,-4.03813926,20001226,7.56,7.57,7.25,7.45,4.188481,3.6622473E7,17,600177,20260428
600750.SH,华润江中,23.92,-0.2502085070892357,23.99,24.54,-3.73194222,24.98,-5.55190435,20000120,844/870,23.93,-4.4919218,20001227,24.54,24.98,23.93,23.99,4.213483,8034052,17,600750,20260428
600801.SH,华新建材,21.51,-4.527296937416775,22.38,22.6,-0.88573959,22.83,-5.83054945,20000125,845/870,22.22,-4.70760989,20001204,22.6,22.83,22.22,22.38,2.701505,9433157,17,600801,20260428
000869.SZ,张裕A,19.35,0.4151530877010994,19.4,19.24,1.41139571,19.54,-6.28552882,20001207,846/870,19.19,-5.9743801,20001205,19.24,19.54,19.19,19.4,1.829587,2158032,33,000869,20260428
600694.SH,大商股份,18.2,-0.2739726027397299,18.2,18.12,-0.2739726,18.26,-6.4828384,20000104,847/870,18.04,-4.24158036,20001201,18.12,18.26,18.04,18.2,1.205479,5296290,17,600694,20260428
600600.SH,青岛啤酒,63.41,0.3164056320202432,63.15,62.42,2.01938611,63.3,-6.92919069,20000117,848/870,62.15,-4.15513616,20001205,62.42,63.3,62.15,63.15,1.857835,8835441,17,600600,20260428
600188.SH,兖矿能源,22.85,-1.3810962451445847,21.46,20.76,3.17307692,21.58,-7.10615385,20000104,849/870,20.63,-5.65512821,20001218,20.76,21.58,20.63,21.46,4.567307,5.2900101E7,17,600188,20260428
600729.SH,重庆百货,21.35,-1.9742883379247,21.74,21.81,-0.77590141,21.96,-7.4868975,20000121,850/870,21.64,-3.7212725,20001215,21.81,21.96,21.64,21.74,1.46052,1996100,17,600729,20260428
000002.SZ,万科A,3.91,1.0335917312661507,3.75,3.73,0.53619303,3.81,-8.27663302,20000104,851/870,3.72,-7.74885852,20001205,3.73,3.81,3.72,3.75,2.412868,9.151001E7,33,000002,20260428
001872.SZ,招商港口,22.15,1.792279411764692,21.98,21.5,1.43054915,22.06,-8.27980366,20000117,852/870,21.5,-4.65097095,20001207,21.5,22.06,21.5,21.98,2.584217,2453000,33,001872,20260428
600887.SH,伊利股份,27.46,3.3496424538953726,25.49,25.21,0.95049505,25.79,-9.02644506,20000104,853/870,25.18,-8.6809119,20001226,25.21,25.79,25.18,25.49,2.415841,8.1728297E7,17,600887,20260428
000581.SZ,威孚高科,19.54,0.153767298821105,19.52,19.72,-1.01419878,19.8,-9.21324697,20000106,854/870,19.4,-6.30674556,20001208,19.72,19.8,19.4,19.52,2.028397,1.1955146E7,33,000581,20260428
600741.SH,华域汽车,18.66,-2.6096033402922756,19.7,19.84,-0.9054326,19.99,-9.24107976,20000104,855/870,19.57,-8.67492017,20001201,19.84,19.99,19.57,19.7,2.112676,1.5920771E7,17,600741,20260428
000513.SZ,丽珠集团,32.65,-0.5482790130977756,32.67,32.5,0.3995083,32.82,-9.46028787,20000104,856/870,32.5,-7.09215077,20001229,32.5,32.82,32.5,32.67,0.983405,3776522,33,000513,20260428
600066.SH,宇通客车,35.41,-1.4198218262806377,35.63,35.5,-2.33004386,36.18,-10.3742617,20000104,857/870,35.05,-10.08151384,20001225,35.5,36.18,35.05,35.63,3.097587,2.7307815E7,17,600066,20260428
