板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
新型工业化,1,1,0,2,0.0,0.0,0.0,88.25,31.0,003036泰坦股份(2板)
物业管理,3,0,0,1,3.6,0.0,0.0,5.44,30.2,002175*ST东智(1板); 600246万通发展(1板); 600693东百集团(1板)
智能家居,3,0,0,1,2.88,0.0,0.0,29.89,28.8,002706良信股份(1板); 603211晋拓股份(1板); 603610麒盛科技(1板)
人民币贬值受益,4,0,0,1,0.22,0.0,0.0,25.12,28.4,603610麒盛科技(1板); 603626科森科技(1板); 605138盛泰集团(1板); 688677海泰新光(1板)
特斯拉概念,3,0,0,1,2.63,0.0,0.0,6.78,28.3,603211晋拓股份(1板); 603626科森科技(1板); 688001华兴源创(1板)
无人驾驶,2,0,0,1,4.59,0.0,0.0,6.36,27.2,600418江淮汽车(1板); 603211晋拓股份(1板)
车联网(车路协同),2,0,0,1,4.46,0.0,0.0,20.94,26.9,002902铭普光磁(1板); 600418江淮汽车(1板)
海峡两岸,3,0,0,1,1.08,0.0,0.0,5.69,25.2,002785万里石(1板); 600693东百集团(1板); 603626科森科技(1板)
IP经济(谷子经济),2,0,0,1,3.12,0.0,0.0,11.44,24.2,002181粤传媒(1板); 600693东百集团(1板)
旅游概念,2,0,0,1,3.12,0.0,0.0,11.44,24.2,002181粤传媒(1板); 600693东百集团(1板)
物联网,2,0,0,1,2.94,0.0,0.0,6.4,23.9,002175*ST东智(1板); 002706良信股份(1板)
互联网金融,2,0,0,1,2.68,0.0,0.0,16.28,23.4,002181粤传媒(1板); 600400红豆股份(1板)
独角兽概念,2,0,0,1,2.68,0.0,0.0,16.28,23.4,002181粤传媒(1板); 600400红豆股份(1板)
充电桩,2,0,0,1,2.65,0.0,0.0,25.52,23.3,002706良信股份(1板); 002902铭普光磁(1板)
光伏概念,2,0,0,1,2.65,0.0,0.0,25.52,23.3,002706良信股份(1板); 002902铭普光磁(1板)
核电,2,0,0,1,2.66,0.0,0.0,7.22,23.3,002706良信股份(1板); 002785万里石(1板)
东数西算(算力),2,0,0,1,2.55,0.0,0.0,4.97,23.1,002484江海股份(1板); 603110东方材料(1板)
无线耳机,2,0,0,1,2.49,0.0,0.0,5.26,23.0,603626科森科技(1板); 688001华兴源创(1板)
智能音箱,2,0,0,1,2.49,0.0,0.0,5.26,23.0,603626科森科技(1板); 688001华兴源创(1板)
毫米波雷达,2,0,0,1,2.48,0.0,0.0,8.17,23.0,600246万通发展(1板); 603211晋拓股份(1板)
苹果概念,2,0,0,1,2.49,0.0,0.0,5.26,23.0,603626科森科技(1板); 688001华兴源创(1板)
回购增持再贷款概念,2,0,0,1,2.37,0.0,0.0,15.55,22.7,605138盛泰集团(1板); 688001华兴源创(1板)
AIGC概念,2,0,0,1,2.23,0.0,0.0,7.47,22.5,002181粤传媒(1板); 603110东方材料(1板)
人工智能,2,0,0,1,2.27,0.0,0.0,40.81,22.5,002181粤传媒(1板); 603610麒盛科技(1板)
体育产业,2,0,0,1,2.17,0.0,0.0,26.41,22.3,002181粤传媒(1板); 002902铭普光磁(1板)
智能座舱,1,0,0,1,4.46,0.0,0.0,2.89,21.9,600418江淮汽车(1板)
飞行汽车(eVTOL),1,0,0,1,4.46,0.0,0.0,2.89,21.9,600418江淮汽车(1板)
低空经济,1,0,0,1,4.46,0.0,0.0,2.89,21.9,600418江淮汽车(1板)
百度概念,1,0,0,1,4.46,0.0,0.0,2.89,21.9,600418江淮汽车(1板)
跨境电商,2,0,0,1,0.95,0.0,0.0,24.03,19.9,002902铭普光磁(1板); 600693东百集团(1板)
福建自贸区,2,0,0,1,0.96,0.0,0.0,5.73,19.9,002785万里石(1板); 600693东百集团(1板)
PCB概念,2,0,0,1,0.88,0.0,0.0,12.0,19.8,002134天津普林(1板); 603110东方材料(1板)
养老概念,2,0,0,1,0.61,0.0,0.0,43.28,19.2,600400红豆股份(1板); 603610麒盛科技(1板)
肝炎概念,2,0,0,1,0.16,0.0,0.0,32.85,18.3,000952广济药业(1板); 002932*ST明德(1板)
流感,2,0,0,1,0.16,0.0,0.0,32.85,18.3,000952广济药业(1板); 002932*ST明德(1板)
智能电网,1,0,0,1,2.65,0.0,0.0,12.04,18.3,002706良信股份(1板)
医疗器械概念,2,0,0,1,0.08,0.0,0.0,5.64,18.2,002932*ST明德(1板); 688677海泰新光(1板)
家用电器,2,0,0,1,0.08,0.0,0.0,57.31,18.2,603657春光科技(1板); 603726朗迪集团(1板)
可控核聚变,1,0,0,1,2.49,0.0,0.0,8.81,18.0,002484江海股份(1板)
超级电容,1,0,0,1,2.49,0.0,0.0,8.81,18.0,002484江海股份(1板)
智慧政务,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
足球概念,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
职业教育,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
广东自贸区,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
虚拟数字人,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
参股券商,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
网红经济,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
AI应用,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
文化传媒概念,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
短剧游戏,1,0,0,1,2.17,0.0,0.0,13.82,17.3,002181粤传媒(1板)
烟草,1,0,0,1,0.97,0.0,0.0,5.46,14.9,600433冠豪高新(1板)
免税店,1,0,0,1,0.95,0.0,0.0,9.06,14.9,600693东百集团(1板)
可降解塑料,1,0,0,1,0.97,0.0,0.0,5.46,14.9,600433冠豪高新(1板)
阿里巴巴概念,1,0,0,1,0.95,0.0,0.0,9.06,14.9,600693东百集团(1板)
天津自贸区,1,0,0,1,0.82,0.0,0.0,22.88,14.6,002134天津普林(1板)
大飞机,1,0,0,1,0.82,0.0,0.0,22.88,14.6,002134天津普林(1板)
比亚迪概念,1,0,0,1,0.13,0.0,0.0,9.83,13.3,603211晋拓股份(1板)
长三角一体化,1,0,0,1,0.13,0.0,0.0,9.83,13.3,603211晋拓股份(1板)
元宇宙,1,0,0,1,0.12,0.0,0.0,5.6,13.2,603626科森科技(1板)
富士康概念,1,0,0,1,0.12,0.0,0.0,5.6,13.2,603626科森科技(1板)
仿制药一致性评价,1,0,0,1,0.08,0.0,0.0,55.3,13.2,000952广济药业(1板)
维生素,1,0,0,1,0.08,0.0,0.0,55.3,13.2,000952广济药业(1板)
虚拟现实,1,0,0,1,0.12,0.0,0.0,5.6,13.2,603626科森科技(1板)
AI PC,1,0,0,1,0.12,0.0,0.0,5.6,13.2,603626科森科技(1板)
合成生物,1,0,0,1,0.08,0.0,0.0,55.3,13.2,000952广济药业(1板)
光刻胶,1,0,0,1,0.1,0.0,0.0,9.69,13.2,603931格林达(1板)
空气能热泵,1,0,0,1,0.08,0.0,0.0,31.06,13.2,603726朗迪集团(1板)
智能医疗,1,0,0,1,0.08,0.0,0.0,10.4,13.2,002932*ST明德(1板)
AI智能体,1,0,0,1,0.1,0.0,0.0,67.81,13.2,603610麒盛科技(1板)
传感器,1,0,0,1,0.1,0.0,0.0,67.81,13.2,603610麒盛科技(1板)
基因测序,1,0,0,1,0.08,0.0,0.0,10.4,13.2,002932*ST明德(1板)
猴痘概念,1,0,0,1,0.08,0.0,0.0,10.4,13.2,002932*ST明德(1板)
鸿蒙概念,1,0,0,1,0.1,0.0,0.0,67.81,13.2,603610麒盛科技(1板)
辅助生殖,1,0,0,1,0.08,0.0,0.0,10.4,13.2,002932*ST明德(1板)
食品安全,1,0,0,1,0.08,0.0,0.0,10.4,13.2,002932*ST明德(1板)
脑机接口,1,0,0,1,0.1,0.0,0.0,67.81,13.2,603610麒盛科技(1板)
三胎概念,1,0,0,1,0.1,0.0,0.0,67.81,13.2,603610麒盛科技(1板)
石墨烯,1,0,0,1,0.06,0.0,0.0,1.12,13.1,603110东方材料(1板)
算力租赁,1,0,0,1,0.06,0.0,0.0,1.12,13.1,603110东方材料(1板)
盐湖提锂,1,0,0,1,0.01,0.0,0.0,2.41,13.0,002785万里石(1板)
小金属概念,1,0,0,1,0.01,0.0,0.0,2.41,13.0,002785万里石(1板)
中俄贸易概念,1,0,0,1,0.01,0.0,0.0,2.41,13.0,002785万里石(1板)
F5G概念,1,0,0,1,0.0,0.0,0.0,39.0,13.0,002902铭普光磁(1板)
铜缆高速连接,1,0,0,1,0.0,0.0,0.0,39.0,13.0,002902铭普光磁(1板)
华为海思概念股,1,0,0,1,0.0,0.0,0.0,39.0,13.0,002902铭普光磁(1板)
第三代半导体,1,0,0,1,0.0,0.0,0.0,39.0,13.0,002902铭普光磁(1板)
露营经济,1,0,0,1,0.0,0.0,0.0,39.0,13.0,002902铭普光磁(1板)
农业种植,1,0,0,1,0.0,0.0,0.0,26.17,13.0,605138盛泰集团(1板)
乡村振兴,1,0,0,1,0.0,0.0,0.0,26.17,13.0,605138盛泰集团(1板)
俄乌冲突概念,1,0,0,1,0.01,0.0,0.0,2.41,13.0,002785万里石(1板)
