板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
粤港澳大湾区,6,1,0,2,20.38,0.0,0.0,11.74,96.8,000007全新好(1板); 000066中国长城(1板); 000833粤桂股份(1板); 002181粤传媒(1板); 002989中天精装(2板)
DeepSeek概念,5,1,0,2,19.33,0.0,0.0,115.61,89.7,000066中国长城(1板); 002685华东重机(1板); 002929润建股份(1板); 600730*ST高科(2板); 603687大胜达(1板)
锂电池概念,8,0,0,1,19.85,0.0,0.0,19.83,87.7,000066中国长城(1板); 000790华神科技(1板); 000833粤桂股份(1板); 002785万里石(1板); 600052东望时代(1板)
数字经济,8,0,0,1,19.57,0.0,0.0,8.6,87.1,000066中国长城(1板); 002181粤传媒(1板); 600158中体产业(1板); 600246万通发展(1板); 600476*ST湘邮(1板)
创投,8,1,0,2,8.83,0.0,0.0,82.93,83.7,000628高新发展(1板); 002181粤传媒(1板); 300083创世纪(1板); 600246万通发展(1板); 600624ST复华(1板)
信创,4,1,0,2,17.47,0.0,0.0,141.31,80.9,000066中国长城(1板); 002685华东重机(1板); 002929润建股份(1板); 600730*ST高科(2板)
物业管理,7,2,0,2,3.59,0.0,0.0,88.34,78.2,000007全新好(1板); 000402金融街(2板); 002235安妮股份(1板); 600246万通发展(1板); 600624ST复华(1板)
商业航天,7,0,0,1,17.49,0.0,0.0,20.96,78.0,000066中国长城(1板); 001316润贝航科(1板); 002977*ST天箭(1板); 300885海昌新材(1板); 600246万通发展(1板)
卫星导航,7,0,0,1,17.33,0.0,0.0,13.51,77.7,000066中国长城(1板); 002977*ST天箭(1板); 300885海昌新材(1板); 600246万通发展(1板); 600476*ST湘邮(1板)
5G,5,0,0,1,21.72,0.0,0.0,4.71,76.4,000066中国长城(1板); 002929润建股份(1板); 300083创世纪(1板); 600246万通发展(1板); 603559ST通脉(1板)
央企国企改革,4,1,0,2,14.49,0.0,0.0,8.47,75.0,000066中国长城(1板); 600433冠豪高新(1板); 600476*ST湘邮(1板); 600714金瑞矿业(2板)
百度概念,3,1,0,2,16.37,0.0,0.0,6.92,73.7,000066中国长城(1板); 000980众泰汽车(2板); 002929润建股份(1板)
同花顺新质50,1,0,0,1,30.2,0.0,0.0,2.48,73.4,688256寒武纪(1板)
华为概念,4,0,0,1,21.46,0.0,0.0,3.65,70.9,000066中国长城(1板); 002929润建股份(1板); 300083创世纪(1板); 688400凌云光(1板)
机器人概念,8,0,0,1,10.95,0.0,0.0,17.04,69.9,002929润建股份(1板); 300083创世纪(1板); 300885海昌新材(1板); 600400红豆股份(1板); 603131上海沪工(1板)
消费电子概念,4,0,0,1,20.55,0.0,0.0,5.47,69.1,000066中国长城(1板); 300083创世纪(1板); 300885海昌新材(1板); 688400凌云光(1板)
新能源汽车,5,1,0,2,7.65,0.0,0.0,15.54,66.3,000628高新发展(1板); 000980众泰汽车(2板); 300083创世纪(1板); 300885海昌新材(1板); 603131上海沪工(1板)
参股券商,4,2,0,2,1.68,0.0,0.0,148.81,59.4,000402金融街(2板); 002181粤传媒(1板); 600730*ST高科(2板); 601086国芳集团(1板)
智慧城市,3,0,0,1,15.9,0.0,0.0,6.53,54.8,000066中国长城(1板); 000628高新发展(1板); 002929润建股份(1板)
数据安全,3,0,0,1,15.16,0.0,0.0,8.28,53.3,000066中国长城(1板); 002929润建股份(1板); 600476*ST湘邮(1板)
液冷服务器,2,0,0,1,17.55,0.0,0.0,3.24,53.1,000066中国长城(1板); 300083创世纪(1板)
工业互联网,5,0,0,1,9.68,0.0,0.0,11.3,52.4,002158汉钟精机(1板); 002929润建股份(1板); 300083创世纪(1板); 600400红豆股份(1板); 603687大胜达(1板)
海工装备,3,0,0,1,14.04,0.0,0.0,20.54,51.1,000066中国长城(1板); 603131上海沪工(1板); 605123派克新材(1板)
虚拟现实,3,0,0,1,13.96,0.0,0.0,3.72,50.9,002929润建股份(1板); 688400凌云光(1板); 688521芯原股份(1板)
光伏概念,5,0,0,1,7.68,0.0,0.0,10.19,48.4,000833粤桂股份(1板); 002158汉钟精机(1板); 002929润建股份(1板); 603687大胜达(1板); 688400凌云光(1板)
智能电网,2,0,0,1,15.14,0.0,0.0,5.47,48.3,000066中国长城(1板); 002929润建股份(1板)
物联网,3,0,0,1,12.66,0.0,0.0,8.15,48.3,000628高新发展(1板); 603687大胜达(1板); 688521芯原股份(1板)
军民融合,2,0,0,1,14.89,0.0,0.0,4.73,47.8,000066中国长城(1板); 603698航天工程(1板)
化债概念(AMC概念),2,2,0,2,0.58,0.0,0.0,275.65,47.2,000567海德股份(2板); 600730*ST高科(2板)
AI应用,3,1,0,2,2.94,0.0,0.0,187.99,46.9,002181粤传媒(1板); 002929润建股份(1板); 600730*ST高科(2板)
新型工业化,4,0,0,1,8.99,0.0,0.0,13.79,46.0,002685华东重机(1板); 300083创世纪(1板); 603131上海沪工(1板); 688400凌云光(1板)
中字头股票,2,0,0,1,13.82,0.0,0.0,7.46,45.6,000066中国长城(1板); 600158中体产业(1板)
区块链,2,0,0,1,13.67,0.0,0.0,7.28,45.3,000066中国长城(1板); 002235安妮股份(1板)
网络安全,2,0,0,1,13.67,0.0,0.0,7.28,45.3,000066中国长城(1板); 002235安妮股份(1板)
高端装备,4,0,0,1,8.63,0.0,0.0,13.68,45.3,002685华东重机(1板); 300083创世纪(1板); 603131上海沪工(1板); 603698航天工程(1板)
碳中和,3,1,0,2,1.99,0.0,0.0,9.15,45.0,000402金融街(2板); 600476*ST湘邮(1板); 603698航天工程(1板)
量子科技,2,0,0,1,13.3,0.0,0.0,13.35,44.6,000066中国长城(1板); 600624ST复华(1板)
车联网(车路协同),2,0,0,1,13.26,0.0,0.0,10.13,44.5,000066中国长城(1板); 600476*ST湘邮(1板)
钠离子电池,2,0,0,1,13.25,0.0,0.0,35.82,44.5,000066中国长城(1板); 603717天域生物(1板)
海峡两岸,6,0,0,1,3.18,0.0,0.0,21.49,44.4,001215千味央厨(1板); 001316润贝航科(1板); 002158汉钟精机(1板); 002235安妮股份(1板); 002785万里石(1板)
职业教育,3,1,0,2,1.62,0.0,0.0,189.32,44.2,002181粤传媒(1板); 600158中体产业(1板); 600730*ST高科(2板)
低空经济,4,0,0,1,7.39,0.0,0.0,20.66,42.8,001316润贝航科(1板); 002929润建股份(1板); 300083创世纪(1板); 300885海昌新材(1板)
储能,4,0,0,1,7.27,0.0,0.0,12.02,42.5,000628高新发展(1板); 002929润建股份(1板); 300083创世纪(1板); 600052东望时代(1板)
中俄贸易概念,2,1,0,2,2.23,0.0,0.0,5.31,40.5,000980众泰汽车(2板); 002785万里石(1板)
小金属概念,2,1,0,2,1.9,0.0,0.0,4.77,39.8,002785万里石(1板); 600714金瑞矿业(2板)
汽车电子,1,0,0,1,13.24,0.0,0.0,6.35,39.5,000066中国长城(1板)
AI PC,1,0,0,1,13.24,0.0,0.0,6.35,39.5,000066中国长城(1板)
华为鲲鹏,1,0,0,1,13.24,0.0,0.0,6.35,39.5,000066中国长城(1板)
无人机,3,0,0,1,8.22,0.0,0.0,2.75,39.4,002929润建股份(1板); 300083创世纪(1板); 688400凌云光(1板)
AI眼镜,2,0,0,1,10.23,0.0,0.0,34.52,38.5,001316润贝航科(1板); 688521芯原股份(1板)
数字货币,2,0,0,1,10.07,0.0,0.0,8.46,38.1,600476*ST湘邮(1板); 688521芯原股份(1板)
人形机器人,3,0,0,1,7.31,0.0,0.0,5.18,37.6,300083创世纪(1板); 300885海昌新材(1板); 688400凌云光(1板)
在线教育,2,1,0,2,0.61,0.0,0.0,279.32,37.2,600158中体产业(1板); 600730*ST高科(2板)
特色小镇,2,1,0,2,0.32,0.0,0.0,37.87,36.6,000402金融街(2板); 603717天域生物(1板)
2025年报预增,4,0,0,1,4.32,0.0,0.0,20.83,36.6,000628高新发展(1板); 000833粤桂股份(1板); 001316润贝航科(1板); 688400凌云光(1板)
小米概念,3,0,0,1,6.69,0.0,0.0,2.43,36.4,300083创世纪(1板); 601588北辰实业(1板); 688400凌云光(1板)
乡村振兴,4,0,0,1,3.3,0.0,0.0,22.23,34.6,000833粤桂股份(1板); 002929润建股份(1板); 600476*ST湘邮(1板); 603717天域生物(1板)
数据要素,4,0,0,1,3.12,0.0,0.0,8.84,34.2,000628高新发展(1板); 002235安妮股份(1板); 002929润建股份(1板); 600476*ST湘邮(1板)
国家大基金持股,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
智能音箱,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
AI手机,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
腾讯概念,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
无人驾驶,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
MCU芯片,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
上海自贸区,1,0,0,1,10.04,0.0,0.0,3.02,33.1,688521芯原股份(1板)
虚拟数字人,3,0,0,1,4.92,0.0,0.0,5.81,32.8,002181粤传媒(1板); 002929润建股份(1板); 688400凌云光(1板)
AIGC概念,3,0,0,1,4.88,0.0,0.0,8.54,32.8,002181粤传媒(1板); 603687大胜达(1板); 688400凌云光(1板)
体育产业,4,0,0,1,2.32,0.0,0.0,15.21,32.6,002181粤传媒(1板); 002235安妮股份(1板); 600052东望时代(1板); 600158中体产业(1板)
互联网金融,4,0,0,1,2.29,0.0,0.0,16.06,32.6,002181粤传媒(1板); 600400红豆股份(1板); 600476*ST湘邮(1板); 603711香飘飘(1板)
文化传媒概念,4,0,0,1,2.32,0.0,0.0,15.21,32.6,002181粤传媒(1板); 002235安妮股份(1板); 600052东望时代(1板); 600158中体产业(1板)
回购增持再贷款概念,3,0,0,1,4.71,0.0,0.0,6.94,32.4,001215千味央厨(1板); 300083创世纪(1板); 601588北辰实业(1板)
海南自贸区,1,1,0,2,0.55,0.0,0.0,1.25,32.1,000567海德股份(2板)
钒电池,1,1,0,2,0.55,0.0,0.0,1.25,32.1,000567海德股份(2板)
碳交易,1,1,0,2,0.31,0.0,0.0,10.44,31.6,000402金融街(2板)
证金持股,1,1,0,2,0.31,0.0,0.0,10.44,31.6,000402金融街(2板)
苹果概念,2,0,0,1,6.32,0.0,0.0,1.83,30.6,300083创世纪(1板); 688400凌云光(1板)
核电,3,0,0,1,3.09,0.0,0.0,3.98,29.2,002785万里石(1板); 603698航天工程(1板); 605123派克新材(1板)
独角兽概念,3,0,0,1,2.5,0.0,0.0,10.52,28.0,002181粤传媒(1板); 002235安妮股份(1板); 600400红豆股份(1板)
氢能源,3,0,0,1,2.52,0.0,0.0,10.98,28.0,002158汉钟精机(1板); 600433冠豪高新(1板); 603698航天工程(1板)
雄安新区,3,0,0,1,2.46,0.0,0.0,31.61,27.9,002158汉钟精机(1板); 002929润建股份(1板); 603717天域生物(1板)
比亚迪概念,2,0,0,1,4.74,0.0,0.0,4.17,27.5,002235安妮股份(1板); 300083创世纪(1板)
工业母机,2,0,0,1,4.68,0.0,0.0,23.68,27.4,300083创世纪(1板); 603131上海沪工(1板)
跨境电商,3,0,0,1,2.07,0.0,0.0,14.14,27.1,002763汇洁股份(1板); 002929润建股份(1板); 600476*ST湘邮(1板)
智慧政务,3,0,0,1,1.79,0.0,0.0,10.62,26.6,000628高新发展(1板); 002181粤传媒(1板); 600476*ST湘邮(1板)
人民币贬值受益,3,0,0,1,1.45,0.0,0.0,23.07,25.9,300885海昌新材(1板); 603131上海沪工(1板); 603360百傲化学(1板)
空间计算,2,0,0,1,3.91,0.0,0.0,4.06,25.8,002929润建股份(1板); 688400凌云光(1板)
元宇宙,2,0,0,1,3.91,0.0,0.0,4.06,25.8,002929润建股份(1板); 688400凌云光(1板)
MR(混合现实),2,0,0,1,3.91,0.0,0.0,4.06,25.8,002929润建股份(1板); 688400凌云光(1板)
充电桩,2,0,0,1,2.89,0.0,0.0,8.24,23.8,002929润建股份(1板); 300885海昌新材(1板)
虚拟电厂,2,0,0,1,2.66,0.0,0.0,6.62,23.3,000628高新发展(1板); 002929润建股份(1板)
Web3.0,2,0,0,1,2.44,0.0,0.0,5.88,22.9,002235安妮股份(1板); 688400凌云光(1板)
广东自贸区,2,0,0,1,2.38,0.0,0.0,7.21,22.8,000833粤桂股份(1板); 002181粤传媒(1板)
存储芯片,2,0,0,1,2.36,0.0,0.0,6.62,22.7,600246万通发展(1板); 603360百傲化学(1板)
烟草,2,0,0,1,2.19,0.0,0.0,8.84,22.4,600433冠豪高新(1板); 603687大胜达(1板)
共同富裕示范区,2,0,0,1,2.05,0.0,0.0,19.88,22.1,603687大胜达(1板); 603711香飘飘(1板)
数字乡村,2,0,0,1,1.93,0.0,0.0,9.25,21.9,002929润建股份(1板); 600476*ST湘邮(1板)
飞行汽车(eVTOL),1,0,0,1,4.31,0.0,0.0,0.13,21.6,300083创世纪(1板)
一体化压铸,1,0,0,1,4.31,0.0,0.0,0.13,21.6,300083创世纪(1板)
智能穿戴,1,0,0,1,4.31,0.0,0.0,0.13,21.6,300083创世纪(1板)
无线充电,1,0,0,1,4.31,0.0,0.0,0.13,21.6,300083创世纪(1板)
旅游概念,2,0,0,1,1.59,0.0,0.0,8.95,21.2,002181粤传媒(1板); 600158中体产业(1板)
足球概念,2,0,0,1,1.59,0.0,0.0,8.95,21.2,002181粤传媒(1板); 600158中体产业(1板)
养老概念,2,0,0,1,1.44,0.0,0.0,8.83,20.9,600400红豆股份(1板); 601588北辰实业(1板)
福建自贸区,2,0,0,1,1.43,0.0,0.0,4.5,20.9,002235安妮股份(1板); 002785万里石(1板)
IP经济(谷子经济),2,0,0,1,1.34,0.0,0.0,17.37,20.7,002181粤传媒(1板); 601086国芳集团(1板)
NFT概念,2,0,0,1,1.02,0.0,0.0,8.4,20.0,002235安妮股份(1板); 600158中体产业(1板)
燃料电池,2,0,0,1,0.87,0.0,0.0,14.92,19.7,002158汉钟精机(1板); 600433冠豪高新(1板)
空气能热泵,2,0,0,1,0.75,0.0,0.0,34.89,19.5,002158汉钟精机(1板); 603726朗迪集团(1板)
航空发动机,2,0,0,1,0.63,0.0,0.0,37.03,19.3,001316润贝航科(1板); 605123派克新材(1板)
大飞机,2,0,0,1,0.63,0.0,0.0,37.03,19.3,001316润贝航科(1板); 605123派克新材(1板)
家用电器,2,0,0,1,0.54,0.0,0.0,35.13,19.1,601086国芳集团(1板); 603726朗迪集团(1板)
消毒剂,2,0,0,1,0.28,0.0,0.0,38.05,18.6,001316润贝航科(1板); 603360百傲化学(1板)
时空大数据,2,0,0,1,0.03,0.0,0.0,11.62,18.1,600476*ST湘邮(1板); 603559ST通脉(1板)
氟化工概念,2,0,0,1,0.07,0.0,0.0,47.68,18.1,000790华神科技(1板); 603717天域生物(1板)
云计算,2,0,0,1,0.03,0.0,0.0,11.62,18.1,600476*ST湘邮(1板); 603559ST通脉(1板)
航运概念,1,0,0,1,2.3,0.0,0.0,4.26,17.6,002685华东重机(1板)
传感器,1,0,0,1,2.3,0.0,0.0,4.26,17.6,002685华东重机(1板)
毫米波雷达,1,0,0,1,2.26,0.0,0.0,3.16,17.5,600246万通发展(1板)
Sora概念(文生视频),1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
共封装光学(CPO),1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
富士康概念,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
光纤概念,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
华为手机,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
宁德时代概念,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
智谱AI,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
机器视觉,1,0,0,1,2.01,0.0,0.0,3.54,17.0,688400凌云光(1板)
云办公,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
华为昇腾,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
电力物联网,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
AI智能体,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
算力租赁,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
智慧灯杆,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
华为数字能源,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
多模态AI,1,0,0,1,1.9,0.0,0.0,4.59,16.8,002929润建股份(1板)
ChatGPT概念,1,0,0,1,1.86,0.0,0.0,12.78,16.7,603687大胜达(1板)
数字水印,1,0,0,1,1.86,0.0,0.0,12.78,16.7,603687大胜达(1板)
钙钛矿电池,1,0,0,1,1.86,0.0,0.0,12.78,16.7,603687大胜达(1板)
煤化工概念,1,0,0,1,1.65,0.0,0.0,3.11,16.3,603698航天工程(1板)
化肥,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
土地流转,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
磷化工,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
TOPCON电池,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
农业种植,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
2026一季报预增,1,0,0,1,1.37,0.0,0.0,5.11,15.7,000833粤桂股份(1板)
参股银行,1,0,0,1,1.07,0.0,0.0,14.04,15.1,600400红豆股份(1板)
短剧游戏,1,0,0,1,1.01,0.0,0.0,9.31,15.0,002181粤传媒(1板)
网红经济,1,0,0,1,1.01,0.0,0.0,9.31,15.0,002181粤传媒(1板)
盐湖提锂,1,0,0,1,1.0,0.0,0.0,0.79,15.0,002785万里石(1板)
俄乌冲突概念,1,0,0,1,1.0,0.0,0.0,0.79,15.0,002785万里石(1板)
减速器,1,0,0,1,0.99,0.0,0.0,11.89,15.0,300885海昌新材(1板)
赛马概念,1,0,0,1,0.59,0.0,0.0,8.58,14.2,600158中体产业(1板)
冰雪产业,1,0,0,1,0.59,0.0,0.0,8.58,14.2,600158中体产业(1板)
冷链物流,1,0,0,1,0.54,0.0,0.0,24.95,14.1,002158汉钟精机(1板)
风电,1,0,0,1,0.44,0.0,0.0,8.04,13.9,605123派克新材(1板)
可控核聚变,1,0,0,1,0.44,0.0,0.0,8.04,13.9,605123派克新材(1板)
蚂蚁集团概念,1,0,0,1,0.43,0.0,0.0,8.22,13.9,002235安妮股份(1板)
数据确权,1,0,0,1,0.43,0.0,0.0,8.22,13.9,002235安妮股份(1板)
知识产权保护,1,0,0,1,0.43,0.0,0.0,8.22,13.9,002235安妮股份(1板)
可降解塑料,1,0,0,1,0.33,0.0,0.0,4.89,13.7,600433冠豪高新(1板)
建筑节能,1,0,0,1,0.28,0.0,0.0,1.34,13.6,603828*ST利达(1板)
光刻机,1,0,0,1,0.1,0.0,0.0,10.09,13.2,603360百傲化学(1板)
预制菜,1,0,0,1,0.03,0.0,0.0,17.09,13.1,001215千味央厨(1板)
安防,1,0,0,1,0.03,0.0,0.0,13.9,13.1,600476*ST湘邮(1板)
仿制药一致性评价,1,0,0,1,0.07,0.0,0.0,20.36,13.1,600624ST复华(1板)
合成生物,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
医疗器械概念,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
移动支付,1,0,0,1,0.03,0.0,0.0,13.9,13.1,600476*ST湘邮(1板)
智能物流,1,0,0,1,0.03,0.0,0.0,13.9,13.1,600476*ST湘邮(1板)
眼科医疗,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
国资云,1,0,0,1,0.03,0.0,0.0,13.9,13.1,600476*ST湘邮(1板)
创新药,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
三胎概念,1,0,0,1,0.03,0.0,0.0,17.09,13.1,001215千味央厨(1板)
医美概念,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
流感,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
肝炎概念,1,0,0,1,0.07,0.0,0.0,20.36,13.1,600624ST复华(1板)
医药电商,1,0,0,1,0.06,0.0,0.0,30.06,13.1,000790华神科技(1板)
绿色电力,1,0,0,1,0.01,0.0,0.0,65.3,13.0,603717天域生物(1板)
军工信息化,1,0,0,1,0.01,0.0,0.0,4.03,13.0,002977*ST天箭(1板)
生态农业,1,0,0,1,0.01,0.0,0.0,65.3,13.0,603717天域生物(1板)
光刻胶,1,0,0,1,0.02,0.0,0.0,52.03,13.0,002453华软科技(1板)
猪肉,1,0,0,1,0.01,0.0,0.0,65.3,13.0,603717天域生物(1板)
