股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code
605028.SH,世茂能源,27.55,生物质能发电;绿色电力;固废处理;高股息精选,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,-4.47295423,-6.768189509306261,4,4408000000.0,28.98,29.06,27.26,27.55,6.241331,3923000,17,605028
603693.SH,江苏新能,14.73,生物质能发电;绿色电力;风电;国企改革;储能;充电桩;海工装备;钠离子电池;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-2.64375413,-10.346926354230062,10,13131439712.4,15.03,15.13,14.6,14.73,3.502974,1.7492694E7,17,603693
600982.SH,宁波能源,6.06,生物质能发电;绿色电力;抽水蓄能;光伏建筑一体化;碳中和;风电;华为数字能源;储能;国企改革;航运概念;光伏概念;统一大市场;共同富裕示范区;高股息精选;华为概念;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,2.36486486,-4.5669291338582685,16,6772822559.1,6.04,6.32,6.04,6.06,4.729729,8.65997E7,17,600982
300614.SZ,百川畅银,13.84,生物质能发电;垃圾分类;碳交易;固废处理;碳中和;光热发电;绿色电力;一带一路;储能;HJT电池;钙钛矿电池;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.16959064,2.064896755162237,12,2220498997.36,13.8,14,13.74,13.84,1.900584,2936400,33,300614
300040.SZ,九洲集团,7.22,生物质能发电;抽水蓄能;绿色电力;虚拟电厂;光伏建筑一体化;风电;智能电网;碳中和;充电桩;垃圾分类;储能;黑龙江自贸区;光伏概念;高压快充;雄安新区;数据中心;高铁;东数西算(算力);华为概念,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,-3.08724832,-1.902173913043486,19,3735455044.9,7.38,7.42,7.21,7.22,2.818791,5.3488441E7,33,300040
600163.SH,中闽能源,6.17,生物质能发电;抽水蓄能;绿色电力;风电;国企改革;化债概念(AMC概念);充电桩;福建自贸区;海峡两岸;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0,-7.634730538922153,11,11741486202.31,6.18,6.22,6.14,6.17,1.296596,2.905016E7,17,600163
000601.SZ,韶能股份,6.57,生物质能发电;抽水蓄能;绿色电力;充电桩;东数西算(算力);数据中心;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;比亚迪概念;深股通;减速器;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-2.23214286,-12.516644474034614,14,6895993702.68,6.79,6.8,6.53,6.57,4.017857,7.6783621E7,33,000601
300172.SZ,中电环保,5.43,生物质能发电;超超临界发电;土壤修复;固废处理;污水处理;净水概念;PPP概念;PM2.5;新型城镇化;一带一路;核污染防治;核电;盐湖提锂;高端装备;专精特新;物联网,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.55555556,1.8761726078799181,16,2839540709.82,5.4,5.44,5.37,5.43,1.296296,1.5803217E7,33,300172
000966.SZ,长源电力,4.56,生物质能发电;超超临界发电;绿色电力;抽水蓄能;碳交易;虚拟电厂;风电;光热发电;碳中和;央企国企改革;国企改革;储能;融资融券;创投;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-1.93548387,-0.8695652173913052,15,14872544059.2,4.63,4.65,4.54,4.56,2.365591,7.1757024E7,33,000966
688739.SH,成大生物,23.05,生物疫苗;流感;重组蛋白;融资融券;沪股通,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,-0.90283749,-3.1919361612767663,5,9599172500.0,23.22,23.29,23.04,23.05,1.074806,2666585,17,688739
