序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,IN_OPTIONAL
33,001270,*ST铖昌,SZ,140.35,5.00,涨停,10:27:27,1.17亿,83.14万,首板,6.680,140.35,132.00,2.85,0.82,580.18万,7.98亿,161.70,18.5393,289.28亿,285.61亿,1002686345,False
34,002081,金 螳 螂,SZ,5.90,10.07,涨停,10:24:15,8681.04万,1471.36万,-,0.540,5.90,5.07,21.77,1.45,5.76亿,32.20亿,22.23,1.1244,156.66亿,156.01亿,1000006073,False
35,600476,*ST湘邮,SH,11.56,5.00,涨停,10:20:17,1313.07万,113.59万,首板,0.550,11.56,10.77,5.07,0.82,816.89万,9128.51万,177.17,-4.2133,18.62亿,18.62亿,1000001752,False
36,600246,万通发展,SH,11.28,10.05,涨停,10:17:50,5838.64万,517.61万,首板,1.030,11.28,10.31,8.67,1.70,1.64亿,18.12亿,-48.80,4.7979,219.17亿,213.24亿,1000001812,False
37,000066,中国长城,SZ,19.82,9.99,涨停,10:16:27,5.43亿,2738.86万,首板,1.800,19.82,18.39,13.38,1.37,4.32亿,83.21亿,-191.16,5.8485,639.35亿,639.30亿,1000001915,False
38,000980,众泰汽车,SZ,2.52,10.04,涨停,10:06:30,7597.88万,3015.03万,-,0.230,2.52,2.30,6.08,1.62,3.07亿,7.45亿,-38.74,388.6028,127.07亿,127.07亿,1000002454,False
39,601588,北辰实业,SH,2.00,9.89,涨停,10:03:18,897.82万,448.91万,首板,0.180,2.00,1.81,4.67,2.20,1.24亿,2.43亿,-11.16,1.0279,67.34亿,53.20亿,1000002244,False
40,603119,浙江荣泰,SH,82.51,10.00,涨停,10:01:31,6153.84万,74.58万,首板,7.500,82.51,76.20,11.23,1.86,2290.53万,18.55亿,104.51,14.2302,300.12亿,168.22亿,1003103841,False
41,600433,冠豪高新,SH,4.84,10.00,涨停,09:57:04,4070.47万,841.01万,首板,0.440,4.84,4.33,9.82,1.12,1.72亿,8.12亿,11.76,1.9199,84.71亿,84.71亿,1000001718,False
42,000567,海德股份,SZ,6.67,10.07,涨停,09:57:00,1302.04万,195.21万,-,0.610,6.67,6.19,8.01,7.73,1.56亿,10.19亿,7.76,2.1643,130.37亿,129.97亿,1000002365,False
