板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
工业互联网,4,2,0,2,1.27,0.0,0.0,246.98,58.5,001266宏英智能(1板); 002175*ST东智(2板); 002902铭普光磁(2板); 600496精工钢构(1板)
高端装备,3,1,0,2,0.78,0.0,0.0,17.22,42.6,002175*ST东智(2板); 301261恒工精密(1板); 600320振华重工(1板)
海工装备,2,1,0,2,1.24,0.0,0.0,9.14,38.5,002902铭普光磁(2板); 600320振华重工(1板)
体育产业,2,1,0,2,0.86,0.0,0.0,17.23,37.7,002902铭普光磁(2板); 605168三人行(1板)
充电桩,2,1,0,2,0.46,0.0,0.0,487.01,36.9,001266宏英智能(1板); 002902铭普光磁(2板)
车联网(车路协同),2,1,0,2,0.46,0.0,0.0,487.01,36.9,001266宏英智能(1板); 002902铭普光磁(2板)
汽车电子,2,1,0,2,0.46,0.0,0.0,487.01,36.9,001266宏英智能(1板); 002902铭普光磁(2板)
物联网,2,1,0,2,0.0,0.0,0.0,482.76,36.0,001266宏英智能(1板); 002175*ST东智(2板)
OLED,2,1,0,2,0.0,0.0,0.0,41.55,36.0,603629利通电子(1板); 603931格林达(2板)
光伏概念,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
露营经济,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
智能穿戴,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
铜缆高速连接,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
5G,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
F5G概念,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
共封装光学(CPO),1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
华为海思概念股,1,1,0,2,0.46,0.0,0.0,15.49,31.9,002902铭普光磁(2板)
光刻胶,1,1,0,2,0.0,0.0,0.0,9.14,31.0,603931格林达(2板)
物业管理,1,1,0,2,0.0,0.0,0.0,7.01,31.0,002175*ST东智(2板)
腾讯概念,3,0,0,1,0.4,0.0,0.0,38.37,23.8,601828美凯龙(1板); 603629利通电子(1板); 605168三人行(1板)
核电,2,0,0,1,2.28,0.0,0.0,7.56,22.6,600320振华重工(1板); 600744华银电力(1板)
碳中和,2,0,0,1,1.5,0.0,0.0,10.33,21.0,001358兴欣新材(1板); 600744华银电力(1板)
DeepSeek概念,2,0,0,1,0.82,0.0,0.0,14.54,19.6,600496精工钢构(1板); 601828美凯龙(1板)
回购增持再贷款概念,2,0,0,1,0.82,0.0,0.0,482.71,19.6,001266宏英智能(1板); 600496精工钢构(1板)
仿制药一致性评价,2,0,0,1,0.56,0.0,0.0,24.82,19.1,002412汉森制药(1板); 600488津药药业(1板)
创新药,2,0,0,1,0.56,0.0,0.0,24.82,19.1,002412汉森制药(1板); 600488津药药业(1板)
文化传媒概念,2,0,0,1,0.5,0.0,0.0,16.01,19.0,002592ST八菱(1板); 605168三人行(1板)
东数西算(算力),2,0,0,1,0.4,0.0,0.0,46.47,18.8,603629利通电子(1板); 605168三人行(1板)
算力租赁,2,0,0,1,0.4,0.0,0.0,46.47,18.8,603629利通电子(1板); 605168三人行(1板)
AI智能体,2,0,0,1,0.4,0.0,0.0,488.74,18.8,001266宏英智能(1板); 605168三人行(1板)
抖音概念(字节概念),2,0,0,1,0.4,0.0,0.0,20.58,18.8,601828美凯龙(1板); 605168三人行(1板)
农业种植,2,0,0,1,0.12,0.0,0.0,27.28,18.2,002412汉森制药(1板); 603779威龙股份(1板)
碳交易,1,0,0,1,1.5,0.0,0.0,12.34,16.0,600744华银电力(1板)
虚拟电厂,1,0,0,1,1.5,0.0,0.0,12.34,16.0,600744华银电力(1板)
雄安新区,1,0,0,1,0.82,0.0,0.0,6.9,14.6,600496精工钢构(1板)
自由贸易港,1,0,0,1,0.78,0.0,0.0,2.78,14.6,600320振华重工(1板)
海峡两岸,1,0,0,1,0.78,0.0,0.0,2.78,14.6,600320振华重工(1板)
NMN概念,1,0,0,1,0.82,0.0,0.0,6.9,14.6,600496精工钢构(1板)
煤化工概念,1,0,0,1,0.67,0.0,0.0,6.07,14.3,601101昊华能源(1板)
高股息精选,1,0,0,1,0.67,0.0,0.0,6.07,14.3,601101昊华能源(1板)
辅助生殖,1,0,0,1,0.51,0.0,0.0,8.08,14.0,600488津药药业(1板)
AIGC概念,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
ChatGPT概念,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
多模态AI,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
AI应用,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
Web3.0,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
小红书概念,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
数据要素,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
低空经济,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
参股券商,1,0,0,1,0.4,0.0,0.0,18.97,13.8,605168三人行(1板)
汽车热管理,1,0,0,1,0.09,0.0,0.0,13.05,13.2,002592ST八菱(1板)
长安汽车概念,1,0,0,1,0.09,0.0,0.0,13.05,13.2,002592ST八菱(1板)
细胞免疫治疗,1,0,0,1,0.09,0.0,0.0,13.05,13.2,002592ST八菱(1板)
流感,1,0,0,1,0.05,0.0,0.0,41.56,13.1,002412汉森制药(1板)
参股银行,1,0,0,1,0.05,0.0,0.0,41.56,13.1,002412汉森制药(1板)
医药电商,1,0,0,1,0.05,0.0,0.0,41.56,13.1,002412汉森制药(1板)
肝炎概念,1,0,0,1,0.05,0.0,0.0,41.56,13.1,002412汉森制药(1板)
黄金概念,1,0,0,1,0.03,0.0,0.0,25.24,13.1,002715登云股份(1板)
比亚迪概念,1,0,0,1,0.03,0.0,0.0,25.24,13.1,002715登云股份(1板)
幽门螺杆菌概念,1,0,0,1,0.05,0.0,0.0,41.56,13.1,002412汉森制药(1板)
乡村振兴,1,0,0,1,0.07,0.0,0.0,13.0,13.1,603779威龙股份(1板)
无人驾驶,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
人形机器人,1,0,0,1,0.0,0.0,0.0,41.87,13.0,301261恒工精密(1板)
卫星导航,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
智能座舱,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
净水概念,1,0,0,1,0.0,0.0,0.0,8.33,13.0,001358兴欣新材(1板)
传感器,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
新型工业化,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
农机,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
小米概念,1,0,0,1,0.0,0.0,0.0,73.97,13.0,603629利通电子(1板)
工业母机,1,0,0,1,0.0,0.0,0.0,41.87,13.0,301261恒工精密(1板)
云计算,1,0,0,1,0.0,0.0,0.0,73.97,13.0,603629利通电子(1板)
英伟达概念,1,0,0,1,0.0,0.0,0.0,73.97,13.0,603629利通电子(1板)
液冷服务器,1,0,0,1,0.0,0.0,0.0,73.97,13.0,603629利通电子(1板)
阿里巴巴概念,1,0,0,1,0.0,0.0,0.0,22.19,13.0,601828美凯龙(1板)
减速器,1,0,0,1,0.0,0.0,0.0,41.87,13.0,301261恒工精密(1板)
PCB概念,1,0,0,1,0.0,0.0,0.0,958.52,13.0,001266宏英智能(1板)
