排名,板块,涨停家数,≥2板,≥3板,龙头连板,主力净流入(亿),5日涨幅均值(%),量比均值,成交额合计(亿),成员数(涨停的),成员名
152,阿里系算力,2,0,0,1,4.41,16.48,2.06,302.30,2,688256寒武纪; 002929润建股份
153,电商概念,4,0,0,1,4.41,19.13,1.61,21.84,4,002763汇洁股份; 002181粤传媒; 600400红豆股份; 002640跨境通
154,网红经济,4,0,0,1,4.41,19.13,1.61,21.84,4,002763汇洁股份; 002181粤传媒; 600400红豆股份; 002640跨境通
155,机器视觉,2,0,0,1,4.39,17.69,1.49,28.22,2,688400凌云光; 002990盛视科技
156,混合现实,2,0,0,1,4.05,15.21,2.25,39.62,2,688400凌云光; 002929润建股份
157,空间计算,2,0,0,1,4.05,15.21,2.25,39.62,2,688400凌云光; 002929润建股份
158,碳中和,2,0,0,1,4.04,5.23,1.08,21.67,2,603698航天工程; 600476*ST湘邮
159,造纸印刷,2,0,0,1,4.00,20.62,1.84,19.83,2,002235安妮股份; 600433冠豪高新
160,参股银行,3,0,0,1,3.89,10.18,0.97,16.33,3,600400红豆股份; 600052东望时代; 600208衢州发展
161,工业气体,1,0,0,1,3.86,2.02,1.35,20.76,1,603698航天工程
162,煤化工概念,1,0,0,1,3.86,2.02,1.35,20.76,1,603698航天工程
163,广东自贸区,2,0,0,1,3.71,26.36,1.05,31.75,2,002181粤传媒; 000833粤桂股份
164,旅游概念,3,0,0,1,3.61,19.51,1.05,21.76,3,600158中体产业; 002181粤传媒; 603389*ST亚振
165,职业教育,2,0,0,1,3.56,18.43,0.97,19.98,2,600158中体产业; 002181粤传媒
166,足球概念,2,0,0,1,3.56,18.43,0.97,19.98,2,600158中体产业; 002181粤传媒
167,新型城镇化,5,0,0,1,3.54,7.20,1.25,16.65,5,002989中天精装; 000628高新发展; 603030全筑股份; 603828*ST利达; 002856*ST美芝
168,虚拟电厂,2,0,0,1,3.45,4.49,1.60,29.36,2,000628高新发展; 002929润建股份
169,参股保险,2,0,0,1,3.10,16.80,1.14,13.99,2,600400红豆股份; 600208衢州发展
170,冷链物流,3,0,0,1,2.99,10.39,1.77,12.94,3,600540新赛股份; 002158汉钟精机; 002990盛视科技
171,福建自贸区,2,0,0,1,2.99,20.79,2.31,23.47,2,002235安妮股份; 002785万里石
172,TOPCon电池,2,0,0,1,2.89,21.97,1.26,13.34,2,603045福达合金; 002685华东重机
173,三胎概念,3,0,0,1,2.89,8.15,2.54,10.98,3,002870香山股份; 001215千味央厨; 002640跨境通
174,第三代半导体,3,0,0,1,2.89,-5.22,1.40,13.61,3,002158汉钟精机; 001270*ST铖昌; 002977*ST天箭
175,中越经济一体化,2,0,0,1,2.89,11.37,3.19,25.15,2,300885海昌新材; 002929润建股份
176,烟草,2,0,0,1,2.84,8.01,1.04,19.66,2,600433冠豪高新; 603687大胜达
177,OCS交换机,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
178,光通信模块,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
179,CPO概念,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
180,富士康概念,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
181,Sora概念,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
182,智谱AI概念,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
183,华为手机,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
184,光纤概念,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
185,智谱AI,1,0,0,1,2.83,25.94,2.40,21.98,1,688400凌云光
186,多模态AI,2,0,0,1,2.78,6.96,1.34,23.88,2,002929润建股份; 002990盛视科技
187,AI智能体,2,0,0,1,2.78,6.96,1.34,23.88,2,002929润建股份; 002990盛视科技
188,华为昇腾,2,0,0,1,2.78,6.96,1.34,23.88,2,002929润建股份; 002990盛视科技
189,农业种植,2,0,0,1,2.73,20.69,1.92,22.33,2,600540新赛股份; 000833粤桂股份
190,土地流转,2,0,0,1,2.73,20.69,1.92,22.33,2,600540新赛股份; 000833粤桂股份
191,AI应用,2,0,0,1,2.71,15.09,1.45,29.66,2,002181粤传媒; 002929润建股份
192,内贸流通,2,0,0,1,2.66,8.24,2.35,4.75,2,601086国芳集团; 002640跨境通
193,蚂蚁概念,2,0,0,1,2.63,13.11,1.69,12.62,2,002235安妮股份; 600476*ST湘邮
194,黄金概念,2,0,0,1,2.62,17.18,0.44,10.03,2,603045福达合金; 600208衢州发展
195,航运概念,1,0,0,1,2.59,15.38,2.22,12.21,1,002685华东重机
196,虚拟机器人,2,0,0,1,2.51,-1.48,1.52,29.18,2,002929润建股份; 603687大胜达
197,成渝特区,2,0,0,1,2.46,11.60,1.95,13.82,2,000790华神科技; 000628高新发展
198,大飞机,3,0,0,1,2.45,5.52,1.44,14.31,3,605222起帆电缆; 001316润贝航科; 605123派克新材
199,AI反诈,1,0,0,1,2.45,17.77,2.57,11.71,1,002235安妮股份
200,金属镍,2,0,0,1,2.41,11.29,2.08,28.42,2,605376博迁新材; 601106中国一重
201,谷子经济,2,0,0,1,2.38,16.45,1.82,14.20,2,002181粤传媒; 601086国芳集团
202,雄安新区,3,0,0,1,2.37,8.19,2.23,23.12,3,603717天域生物; 002929润建股份; 002158汉钟精机
203,煤炭概念,1,0,0,1,2.32,5.81,0.60,8.90,1,600208衢州发展
204,黄金开采,1,0,0,1,2.32,5.81,0.60,8.90,1,600208衢州发展
205,第四代半导体,1,0,0,1,2.32,5.81,0.60,8.90,1,600208衢州发展
206,工程建设,1,0,0,1,2.23,4.50,1.11,11.72,1,000628高新发展
207,2026—季报预增,1,0,0,1,2.22,27.03,1.29,19.73,1,000833粤桂股份
208,化肥,1,0,0,1,2.22,27.03,1.29,19.73,1,000833粤桂股份
209,2025三季报预增,1,0,0,1,2.22,27.03,1.29,19.73,1,000833粤桂股份
210,磷化工,1,0,0,1,2.22,27.03,1.29,19.73,1,000833粤桂股份
211,镍矿,1,0,0,1,2.21,8.35,2.81,7.17,1,601106中国一重
212,黑龙江自贸区,1,0,0,1,2.21,8.35,2.81,7.17,1,601106中国一重
213,长安汽车概念,2,0,0,1,2.19,4.59,2.75,8.64,2,002870香山股份; 603178圣龙股份
214,华为汽车,2,0,0,1,2.19,4.59,2.75,8.64,2,002870香山股份; 603178圣龙股份
215,新材料,3,0,0,1,2.17,20.34,1.98,29.89,3,300885海昌新材; 605376博迁新材; 603045福达合金
216,拼多多概念,2,0,0,1,2.16,15.75,1.87,4.36,2,002591恒大高新; 002640跨境通
