股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code
603211.SH,晋拓股份,26.8,卫星导航;毫米波雷达;人形机器人;特斯拉概念;比亚迪概念;专精特新;机器人概念;新能源汽车;无人驾驶;智能家居;长三角一体化;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,0.56285178,2.5353212E8,9051780.0,11.899791231732783,12,7284454400.0,9595800,22976288.0,13924508.0,26.16,27.2,25.75,26.8,5.4409,17,603211
301067.SZ,显盈科技,32.66,卫星导航;AI眼镜;消费电子概念;无人机;低空经济;机器人概念;无线充电;粤港澳大湾区;铜缆高速连接;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,-2.681764,1.07655823E8,3532650.0,-3.086053412462926,10,2084651874.0,3279327,12439250.0,8906600.0,33.75,33.75,32,32.66,5.214541,33,301067
300136.SZ,信维通信,91.3,卫星导航;6G概念;商业航天;同花顺果指数;WiFi 6;毫米波雷达;无人机;低空经济;芯片概念;柔性屏(折叠屏);5G;富士康概念;智能音箱;AI眼镜;智能穿戴;车联网(车路协同);无线充电;华为概念;虚拟现实;消费电子概念;汽车电子;苹果概念;物联网;无线耳机;机器人概念;特斯拉概念;海峡两岸;粤港澳大湾区;人民币贬值受益;一带一路;回购增持再贷款概念;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板50;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,6.77113788,1.08319452E10,1382372670.0,9.45929744634936,33,75340781729.4,1.22837778E8,3788179860.0,2405807190.0,84.9,91.98,83.03,91.3,10.466612,33,300136
688387.SH,信科移动,19.58,卫星导航;6G概念;商业航天;低空经济;网络安全;东数西算(算力);5G;车联网(车路协同);芯片概念;AI应用;机器视觉;人工智能;物联网;DeepSeek概念;专精特新;工业互联网;央企国企改革;国企改革;沪股通;融资融券,上证AB股;上证A股;上证上市公司;中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,8.1170624,2.28859513E9,429612300.0,10.621468926553668,20,39488497576.0,1.20669532E8,852751090.0,423138790.0,18.08,19.79,17.69,19.58,11.595803,17,688387
688283.SH,坤恒顺维,41.15,卫星导航;5G;商业航天;军工信息化;军工;军民融合;专精特新;车联网(车路协同);西部大开发;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,5.29682702,1.2999292E8,936530.6999999993,-13.00211416490486,10,5012070000.0,3187909,14014558.0,13078027.3,39.08,41.95,39.08,41.15,7.343909,17,688283
301281.SZ,科源制药,37.69,维生素;数字经济;仿制药一致性评价;股权转让(并购重组);融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,-0.52784376,8.10804518E7,1111755.0,-3.827507017096198,5,2674180880.0,2150723,4477350.0,3365595.0,38,38.12,37.37,37.69,1.979414,33,301281
300381.SZ,溢多利,6.92,维生素;NMN概念;合成生物;可降解塑料;粤港澳大湾区;横琴新区,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,-0.57471264,1.37606701E8,245119.5,13.256955810147291,6,3386238156.08,1.9807595E7,12755696.0,12510576.5,7.03,7.1,6.88,6.92,3.160919,33,300381
600351.SH,亚宝药业,7.08,维生素;流感;仿制药一致性评价;医药电商;创新药;幽门螺杆菌概念;重组蛋白;三胎概念;农业种植;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),2.31213873,2.49146372E8,16626274.100000001,10.280373831775703,11,4899360325.68,3.5375634E7,49117898.0,32491623.9,6.88,7.1,6.85,7.08,3.612716,17,600351
301130.SZ,西点药业,32.12,维生素;流感;阿尔茨海默概念;肝炎概念;猴痘概念;仿制药一致性评价;创新药;细胞免疫治疗;三胎概念;养老概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.58127767,4.67718293E7,724533.0,8.2210242587601,11,1895637603.2,1456930,2135729.0,1411196.0,31.65,32.43,31.65,32.12,2.466793,33,301130
000953.SZ,河化股份,6.99,维生素;化肥;西部大开发;CRO概念;海峡两岸;股权转让(并购重组),全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,1.01156069,5.0150126E7,1007554.0,7.373271889400929,6,2559194143.05,7167300,5380725.0,4373171.0,6.92,7.04,6.89,6.99,2.16763,33,000953
688089.SH,嘉必优,16.03,维生素;合成生物;宠物经济;三胎概念;AIGC概念;DeepSeek概念;绿色电力;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,-0.1867995,6.4543646E7,816761.1000000006,0.06242197253434184,8,2697995193.6,4000465,9167412.3,8350651.2,16.04,16.41,15.89,16.03,3.237858,17,688089
300583.SZ,赛托生物,15.12,维生素;肝炎概念;辅助生殖;合成生物,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.95549562,7.99629362E7,6069251.2,12.166172106824916,4,2814571761.12,5293850,8814406.0,2745154.8,14.96,15.28,14.82,15.12,3.10182,33,300583
603069.SH,海汽集团,17.02,网约车;自由贸易港;旅游概念;跨境电商;海南自贸区;无人驾驶;国企改革;新能源汽车;回购增持再贷款概念;充电桩;股权转让(并购重组);沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),2.90205562,1.0384013E8,1457769.0,2.2222222222222285,13,5378320000.0,6113700,6938401.0,5480632.0,16.75,17.28,16.55,17.02,4.413542,17,603069
002357.SZ,富临运业,11.72,网约车;旅游概念;股权转让(并购重组);车联网(车路协同);低空经济;卫星导航;参股银行;宁德时代概念;充电桩;西部大开发;天然气,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,3.80868025,1.94915551E8,10448126.0,8.518518518518517,11,3673959651.92,1.67681E7,24827313.0,14379187.0,11.26,11.85,11.17,11.72,6.023029,33,002357
002355.SZ,兴民智通,6.0,网约车;EDR概念;人脸识别;车联网(车路协同);长安汽车概念;鸿蒙概念;时空大数据;数据要素;人工智能;智能座舱;百度概念;粤港澳大湾区;低空经济;无人驾驶;无人机;飞行汽车(eVTOL);汽车电子;比亚迪概念;东数西算(算力);算力租赁;新能源汽车;参股银行;5G;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,1.01010101,9.2778432E7,6542840.0,0.0,24,3708999900.0,1.5526202E7,16766647.0,10223807.0,5.93,6.06,5.88,6.0,3.030303,33,002355
002577.SZ,雷柏科技,17.19,网络游戏;跨境电商;电子竞技;人工智能;星闪概念;粤港澳大湾区;百度概念;智能穿戴;机器人概念;无线耳机;消费电子概念;无线充电;融资融券;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,3.3674083,8.23401147E7,5051923.699999999,12.206266318537866,14,4824768870.0,4823327,8047526.1,2995602.4,16.55,17.49,16.51,17.19,5.892964,33,002577
