板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
创投,4,0,0,1,1.89,0.0,0.0,24.28,31.8,000551创元科技(1板); 001203大中矿业(1板); 001336楚环科技(1板); 600730*ST高科(1板)
农机,1,1,0,2,0.0,0.0,0.0,38.8,31.0,001266宏英智能(2板)
特色小镇,4,0,0,1,0.83,0.0,0.0,48.14,29.7,000402金融街(1板); 002627三峡旅游(1板); 600606绿地控股(1板); 600708光明地产(1板)
物业管理,4,0,0,1,0.64,0.0,0.0,39.34,29.3,000402金融街(1板); 600606绿地控股(1板); 600708光明地产(1板); 600730*ST高科(1板)
液冷服务器,1,0,0,1,8.17,0.0,0.0,6.1,29.3,603083剑桥科技(1板)
F5G概念,1,0,0,1,8.17,0.0,0.0,6.1,29.3,603083剑桥科技(1板)
WiFi 6,1,0,0,1,8.17,0.0,0.0,6.1,29.3,603083剑桥科技(1板)
共封装光学(CPO),1,0,0,1,8.17,0.0,0.0,6.1,29.3,603083剑桥科技(1板)
在线教育,4,0,0,1,0.56,0.0,0.0,23.08,29.1,002348高乐股份(1板); 002354天娱数科(1板); 002512ST达华(1板); 600730*ST高科(1板)
高端装备,4,0,0,1,0.35,0.0,0.0,31.76,28.7,002111威海广泰(1板); 002520日发精机(1板); 002786银宝山新(1板); 002851麦格米特(1板)
医疗器械概念,4,0,0,1,0.35,0.0,0.0,14.14,28.7,002111威海广泰(1板); 002851麦格米特(1板); 600135乐凯胶片(1板); 603139康惠股份(1板)
AI应用,4,0,0,1,0.3,0.0,0.0,25.52,28.6,000039中集集团(1板); 002174游族网络(1板); 002354天娱数科(1板); 600730*ST高科(1板)
中俄贸易概念,3,0,0,1,2.61,0.0,0.0,28.59,28.2,000901航天科技(1板); 000980众泰汽车(1板); 603013亚普股份(1板)
参股保险,2,0,0,1,4.88,0.0,0.0,12.07,27.8,600135乐凯胶片(1板); 600392盛和资源(1板)
央企国企改革,3,0,0,1,2.39,0.0,0.0,14.72,27.8,000901航天科技(1板); 600135乐凯胶片(1板); 600714金瑞矿业(1板)
军民融合,3,0,0,1,2.34,0.0,0.0,35.47,27.7,000551创元科技(1板); 000901航天科技(1板); 002520日发精机(1板)
比亚迪概念,3,0,0,1,2.05,0.0,0.0,38.6,27.1,002786银宝山新(1板); 301217铜冠铜箔(1板); 603013亚普股份(1板)
苹果概念,2,0,0,1,4.53,0.0,0.0,4.47,27.1,600392盛和资源(1板); 603256宏和科技(1板)
智能电网,3,0,0,1,1.84,0.0,0.0,10.88,26.7,000901航天科技(1板); 002851麦格米特(1板); 300982苏文电能(1板)
旅游概念,3,0,0,1,1.78,0.0,0.0,25.95,26.6,001203大中矿业(1板); 002627三峡旅游(1板); 600606绿地控股(1板)
参股银行,3,0,0,1,1.78,0.0,0.0,22.41,26.6,000551创元科技(1板); 001203大中矿业(1板); 600606绿地控股(1板)
职业教育,3,0,0,1,1.75,0.0,0.0,20.31,26.5,000551创元科技(1板); 001203大中矿业(1板); 600730*ST高科(1板)
煤炭概念,3,0,0,1,1.66,0.0,0.0,11.48,26.3,600397江钨装备(1板); 600606绿地控股(1板); 601233桐昆股份(1板)
统一大市场,3,0,0,1,0.87,0.0,0.0,21.2,24.7,000039中集集团(1板); 002627三峡旅游(1板); 600708光明地产(1板)
共同富裕示范区,3,0,0,1,0.77,0.0,0.0,36.66,24.5,001336楚环科技(1板); 002520日发精机(1板); 002522浙江众成(1板)
互联网金融,3,0,0,1,0.72,0.0,0.0,20.03,24.4,002512ST达华(1板); 600606绿地控股(1板); 601233桐昆股份(1板)
化债概念(AMC概念),3,0,0,1,0.72,0.0,0.0,34.12,24.4,000567海德股份(1板); 002786银宝山新(1板); 600730*ST高科(1板)
IP经济(谷子经济),3,0,0,1,0.45,0.0,0.0,27.14,23.9,002174游族网络(1板); 002348高乐股份(1板); 002354天娱数科(1板)
跨境电商,3,0,0,1,0.38,0.0,0.0,14.26,23.8,002348高乐股份(1板); 002354天娱数科(1板); 002956西麦食品(1板)
大飞机,3,0,0,1,0.35,0.0,0.0,39.37,23.7,002111威海广泰(1板); 002520日发精机(1板); 002786银宝山新(1板)
光伏概念,3,0,0,1,0.35,0.0,0.0,15.11,23.7,002851麦格米特(1板); 300982苏文电能(1板); 600135乐凯胶片(1板)
数字经济,3,0,0,1,0.31,0.0,0.0,43.73,23.6,002354天娱数科(1板); 002512ST达华(1板); 002520日发精机(1板)
参股券商,3,0,0,1,0.24,0.0,0.0,43.9,23.5,000039中集集团(1板); 000402金融街(1板); 600730*ST高科(1板)
消费电子概念,3,0,0,1,0.22,0.0,0.0,31.91,23.4,002512ST达华(1板); 002786银宝山新(1板); 603256宏和科技(1板)
小米概念,3,0,0,1,0.22,0.0,0.0,32.56,23.4,002512ST达华(1板); 002786银宝山新(1板); 002851麦格米特(1板)
虚拟现实,3,0,0,1,0.19,0.0,0.0,44.95,23.4,002174游族网络(1板); 002354天娱数科(1板); 002786银宝山新(1板)
俄乌冲突概念,2,0,0,1,2.56,0.0,0.0,9.06,23.1,000901航天科技(1板); 603353和顺石油(1板)
智能医疗,3,0,0,1,0.0,0.0,0.0,17.93,23.0,002111威海广泰(1板); 002354天娱数科(1板); 600186莲花控股(1板)
宁德时代概念,2,0,0,1,2.05,0.0,0.0,27.53,22.1,002786银宝山新(1板); 301217铜冠铜箔(1板)
智能物流,2,0,0,1,1.99,0.0,0.0,6.99,22.0,000039中集集团(1板); 000901航天科技(1板)
钠离子电池,2,0,0,1,1.9,0.0,0.0,3.43,21.8,002348高乐股份(1板); 600367红星发展(1板)
无人机,2,0,0,1,1.84,0.0,0.0,8.98,21.7,000901航天科技(1板); 002111威海广泰(1板)
百度概念,2,0,0,1,0.76,0.0,0.0,27.99,19.5,000980众泰汽车(1板); 002354天娱数科(1板)
高压快充,2,0,0,1,0.72,0.0,0.0,8.79,19.4,002851麦格米特(1板); 603353和顺石油(1板)
冷链物流,2,0,0,1,0.59,0.0,0.0,5.92,19.2,000039中集集团(1板); 600708光明地产(1板)
雄安新区,2,0,0,1,0.5,0.0,0.0,13.34,19.0,000039中集集团(1板); 600135乐凯胶片(1板)
减速器,2,0,0,1,0.5,0.0,0.0,48.47,19.0,000551创元科技(1板); 002520日发精机(1板)
污水处理,2,0,0,1,0.41,0.0,0.0,38.68,18.8,000551创元科技(1板); 001336楚环科技(1板)
三胎概念,2,0,0,1,0.38,0.0,0.0,8.7,18.8,002348高乐股份(1板); 603139康惠股份(1板)
养老概念,2,0,0,1,0.39,0.0,0.0,37.3,18.8,002627三峡旅游(1板); 600606绿地控股(1板)
粤港澳大湾区,2,0,0,1,0.28,0.0,0.0,29.17,18.6,000039中集集团(1板); 002786银宝山新(1板)
人形机器人,2,0,0,1,0.23,0.0,0.0,48.12,18.5,002354天娱数科(1板); 002520日发精机(1板)
成飞概念,2,0,0,1,0.23,0.0,0.0,32.14,18.5,002111威海广泰(1板); 002520日发精机(1板)
家用电器,2,0,0,1,0.27,0.0,0.0,25.03,18.5,000551创元科技(1板); 002851麦格米特(1板)
碳中和,2,0,0,1,0.14,0.0,0.0,73.42,18.3,000402金融街(1板); 001336楚环科技(1板)
海工装备,2,0,0,1,0.15,0.0,0.0,6.5,18.3,000039中集集团(1板); 002111威海广泰(1板)
机器视觉,2,0,0,1,0.15,0.0,0.0,22.48,18.3,000039中集集团(1板); 002354天娱数科(1板)
虚拟数字人,2,0,0,1,0.09,0.0,0.0,37.69,18.2,002354天娱数科(1板); 002512ST达华(1板)
海峡两岸,2,0,0,1,0.09,0.0,0.0,20.95,18.2,002512ST达华(1板); 603256宏和科技(1板)
信创,2,0,0,1,0.09,0.0,0.0,28.49,18.2,002354天娱数科(1板); 600730*ST高科(1板)
碳交易,2,0,0,1,0.11,0.0,0.0,66.74,18.2,000402金融街(1板); 600606绿地控股(1板)
元宇宙,2,0,0,1,0.11,0.0,0.0,31.64,18.2,002354天娱数科(1板); 600606绿地控股(1板)
腾讯概念,2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
手机游戏,2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
抖音概念(字节概念),2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
电子竞技,2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
网络游戏,2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
AIGC概念,2,0,0,1,0.06,0.0,0.0,40.51,18.1,002174游族网络(1板); 002354天娱数科(1板)
长安汽车概念,2,0,0,1,0.0,0.0,0.0,34.83,18.0,002851麦格米特(1板); 603013亚普股份(1板)
超级品牌,2,0,0,1,0.0,0.0,0.0,7.17,18.0,002568百润股份(1板); 600186莲花控股(1板)
东数西算(算力),2,0,0,1,0.0,0.0,0.0,22.65,18.0,002354天娱数科(1板); 600186莲花控股(1板)
算力租赁,2,0,0,1,0.0,0.0,0.0,22.65,18.0,002354天娱数科(1板); 600186莲花控股(1板)
PET铜箔,1,0,0,1,1.92,0.0,0.0,1.23,16.8,301217铜冠铜箔(1板)
黑龙江自贸区,1,0,0,1,1.84,0.0,0.0,9.47,16.7,000901航天科技(1板)
绿色电力,1,0,0,1,1.39,0.0,0.0,3.24,15.8,001203大中矿业(1板)
金属锌,1,0,0,1,1.39,0.0,0.0,3.24,15.8,001203大中矿业(1板)
金属铅,1,0,0,1,1.39,0.0,0.0,3.24,15.8,001203大中矿业(1板)
华为数字能源,1,0,0,1,0.72,0.0,0.0,8.66,14.4,603353和顺石油(1板)
存储芯片,1,0,0,1,0.72,0.0,0.0,8.66,14.4,603353和顺石油(1板)
海南自贸区,1,0,0,1,0.5,0.0,0.0,32.01,14.0,000567海德股份(1板)
钒电池,1,0,0,1,0.5,0.0,0.0,32.01,14.0,000567海德股份(1板)
土地流转,1,0,0,1,0.44,0.0,0.0,7.33,13.9,600708光明地产(1板)
上海国企改革,1,0,0,1,0.44,0.0,0.0,7.33,13.9,600708光明地产(1板)
租售同权,1,0,0,1,0.44,0.0,0.0,7.33,13.9,600708光明地产(1板)
光纤概念,1,0,0,1,0.41,0.0,0.0,17.97,13.8,002522浙江众成(1板)
PVDF概念,1,0,0,1,0.41,0.0,0.0,17.97,13.8,002522浙江众成(1板)
柔性屏(折叠屏),1,0,0,1,0.35,0.0,0.0,22.17,13.7,600135乐凯胶片(1板)
NFT概念,1,0,0,1,0.28,0.0,0.0,51.77,13.6,002627三峡旅游(1板)
中芯国际概念,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
航空发动机,1,0,0,1,0.23,0.0,0.0,55.8,13.5,002520日发精机(1板)
工业母机,1,0,0,1,0.23,0.0,0.0,55.8,13.5,002520日发精机(1板)
期货概念,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
猴痘概念,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
食品安全,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
空气能热泵,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
特高压,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
特斯拉概念,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
PM2.5,1,0,0,1,0.27,0.0,0.0,41.15,13.5,000551创元科技(1板)
生态农业,1,0,0,1,0.18,0.0,0.0,40.44,13.4,002548金新农(1板)
猪肉,1,0,0,1,0.18,0.0,0.0,40.44,13.4,002548金新农(1板)
垃圾分类,1,0,0,1,0.14,0.0,0.0,36.2,13.3,001336楚环科技(1板)
天然气,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
智谱AI,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
航运概念,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
可燃冰,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
3D打印,1,0,0,1,0.13,0.0,0.0,53.83,13.3,002786银宝山新(1板)
同花顺出海50,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
华为汽车,1,0,0,1,0.13,0.0,0.0,53.83,13.3,002786银宝山新(1板)
核电,1,0,0,1,0.15,0.0,0.0,4.52,13.3,000039中集集团(1板)
固废处理,1,0,0,1,0.14,0.0,0.0,36.2,13.3,001336楚环科技(1板)
鸿蒙概念,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
6G概念,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
独角兽概念,1,0,0,1,0.11,0.0,0.0,22.84,13.2,600606绿地控股(1板)
蚂蚁集团概念,1,0,0,1,0.11,0.0,0.0,22.84,13.2,600606绿地控股(1板)
数字乡村,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
智慧政务,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
华为鲲鹏,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
福建自贸区,1,0,0,1,0.09,0.0,0.0,34.94,13.2,002512ST达华(1板)
云游戏,1,0,0,1,0.06,0.0,0.0,40.58,13.1,002174游族网络(1板)
流感,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
ChatGPT概念,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
数据确权,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
华为手机,1,0,0,1,0.0,0.0,0.0,6.97,13.0,603256宏和科技(1板)
合成生物,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
汽车热管理,1,0,0,1,0.0,0.0,0.0,60.75,13.0,603013亚普股份(1板)
燃料电池,1,0,0,1,0.0,0.0,0.0,60.75,13.0,603013亚普股份(1板)
Web3.0,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
文化传媒概念,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
多模态AI,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
医药电商,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
农业种植,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
牙科医疗,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
肝炎概念,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
MR(混合现实),1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
毛发医疗,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
幽门螺杆菌概念,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
NMN概念,1,0,0,1,0.0,0.0,0.0,17.0,13.0,603139康惠股份(1板)
证金持股,1,0,0,1,0.0,0.0,0.0,110.63,13.0,000402金融街(1板)
低空经济,1,0,0,1,0.0,0.0,0.0,8.49,13.0,002111威海广泰(1板)
短剧游戏,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
体育产业,1,0,0,1,0.0,0.0,0.0,0.74,13.0,002832比音勒芬(1板)
网红经济,1,0,0,1,0.0,0.0,0.0,0.74,13.0,002832比音勒芬(1板)
超级电容,1,0,0,1,0.0,0.0,0.0,8.91,13.0,002851麦格米特(1板)
中国AI 50,1,0,0,1,0.0,0.0,0.0,8.91,13.0,002851麦格米特(1板)
英伟达概念,1,0,0,1,0.0,0.0,0.0,8.91,13.0,002851麦格米特(1板)
数据要素,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
高铁,1,0,0,1,0.0,0.0,0.0,8.91,13.0,002851麦格米特(1板)
电力物联网,1,0,0,1,0.0,0.0,0.0,14.26,13.0,300982苏文电能(1板)
虚拟电厂,1,0,0,1,0.0,0.0,0.0,14.26,13.0,300982苏文电能(1板)
快手概念,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
小红书概念,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
Sora概念(文生视频),1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
土壤修复,1,0,0,1,0.0,0.0,0.0,4.86,13.0,600186莲花控股(1板)
粮食概念,1,0,0,1,0.0,0.0,0.0,4.86,13.0,600186莲花控股(1板)
AI语料,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
云计算,1,0,0,1,0.0,0.0,0.0,40.44,13.0,002354天娱数科(1板)
