股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向区间增长值[20260424-20260430],主力资金流向[20260424],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code,主力资金流向[20260427]
002793.SZ,罗欣药业,5.53,仿制药一致性评价;医药电商;创新药;流感;幽门螺杆菌概念;民营医院;股权转让(并购重组);医疗器械概念;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,2.5974026,3.24912883E8,16772887.0,303178.0,13419297.299999997,,17076065.0,9,6005212913.07,5.889829E7,41033416.0,23957351.0,5.38,5.62,5.32,5.53,5.565862,33,002793,
601375.SH,中原证券,4.06,期货概念;国企改革;2025年报预增;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部上市公司;含H股的A股;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0.74441687,1.62193398E8,16743629.0,,2027384.0,38217796.0,7408559.0,5,13996929982.0,3.9860208E7,35225784.0,27817225.0,4.05,4.12,4.02,4.06,2.481389,17,601375,
300063.SZ,天龙集团,11.43,小红书概念;快手概念;Sora概念(文生视频);AIGC概念;抖音概念(字节概念);文化传媒概念;AI应用;百度概念;腾讯概念;阿里巴巴概念;网红经济;职业教育;独角兽概念;人工智能;华为概念;长安汽车概念;2025年报预增;丙烯酸;光刻胶;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,0.52770449,3.77460662E8,16728489.0,,,8490798.0,,20,7161088658.49,3.3281582E7,43739947.0,63481923.0,11.31,11.54,11.21,11.43,2.902374,33,300063,
603333.SH,尚纬股份,8.44,特高压;充电桩;海工装备;水利;高铁;一带一路;专精特新;风电;储能;核电;光伏概念;西部大开发;新能源汽车;锂电池概念;军工;氟化工概念;沪股通;股权转让(并购重组),上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,5.23690773,3.73786104E8,16723083.0,,,5607204.0,15602761.0,18,5245692825.84,4.3592001E7,53451789.0,37849028.0,8.5,8.82,8.32,8.44,6.234413,17,603333,
603926.SH,铁流股份,21.75,新能源汽车;农机;长安汽车概念;机器人概念;燃料电池,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,6.0458313,3.0227126E8,16703932.099999998,,,4583520.0,8869514.399999999,5,5020739789.25,1.3904187E7,36117762.0,27248247.6,20.51,22.39,20.51,21.75,9.16626,17,603926,11488735.0
688089.SH,嘉必优,16.03,维生素;合成生物;宠物经济;三胎概念;AIGC概念;DeepSeek概念;绿色电力;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,-0.1867995,6.4543646E7,16678502.5,,2536387.8,3018214.8,816761.1000000006,8,2697995193.6,4000465,9167412.3,8350651.2,16.04,16.41,15.89,16.03,3.237858,17,688089,
002723.SZ,小崧股份,11.17,短剧游戏;空气能热泵;新型烟草(电子烟);露营经济;家用电器;液冷服务器;跨境电商;储能;军工;PPP概念;医疗器械概念;宠物经济,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,4.98120301,2.11809121E8,16673743.399999999,2034045.0,,8101938.0,18707788.4,12,3541446634.61,1.938204E7,33976145.4,15268357.0,10.54,11.26,10.5,11.17,7.142857,33,002723,11664821.0
002349.SZ,精华制药,7.52,流感;医药电商;仿制药一致性评价;肝炎概念;创新药;养老概念;国企改革;锂电池概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,2.87277702,1.47792268E8,16654601.0,,,3676357.0,15433818.0,10,6122640428.16,1.9758643E7,27357994.0,11924176.0,7.36,7.59,7.34,7.52,3.419972,33,002349,
600127.SH,金健米业,6.81,玉米;粮食概念;俄乌冲突概念;预制菜;乳业;乡村振兴;国企改革;养老概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.72886297,1.27620867E8,16617139.899999999,,,7962655.3999999985,,10,4370543714.58,1.8777446E7,20213015.9,21065279.0,6.83,6.85,6.74,6.81,1.603498,17,600127,3419098.0
300048.SZ,合康新能,6.44,可控核聚变;核电;虚拟电厂;光伏概念;充电桩;储能;2025年报预增;光伏建筑一体化;DeepSeek概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,0.46801872,7.681177E7,16587874.600000001,,,1734075.0999999978,558565.0,11,7278691549.08,1.20217E7,14123907.0,13565342.0,6.44,6.44,6.34,6.44,1.560062,33,300048,
688607.SH,康众医疗,66.03,传感器;智能医疗;人工智能;AI应用;宠物经济;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,5.09310839,1.24261144E8,16567055.700000003,,,7944495.200000001,9780099.3,6,5238095652.81,1924018,31866113.0,22086013.7,64,66.5,62.3,66.03,6.684704,17,688607,
002152.SZ,广电运通,11.66,数字货币;跨境支付(CIPS);数据安全;智慧政务;鸿蒙概念;区块链;信创;华为鲲鹏;网络安全;数据要素;车联网(车路协同);人脸识别;百度概念;AI智能体;数据确权;华为昇腾;阿里巴巴概念;互联网金融;国资云;Web3.0;智慧城市;AI应用;安防;腾讯概念;DeepSeek概念;时空大数据;东数西算(算力);人工智能;华为概念;虚拟数字人;独角兽概念;机器视觉;数据中心;算力租赁;英伟达概念;机器人概念;人形机器人;创投;液冷服务器;国企改革;污水处理;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-0.2566296,1.97767967E8,16563303.899999999,,,57333.0,,43,28941679093.58,1.6940246E7,18657664.0,20413177.0,11.69,11.75,11.6,11.66,1.283147,33,002152,
601155.SH,新城控股,14.78,物业管理;装配式建筑;养老概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0.47586676,3.2372371E8,16546482.0,,8350387.0,31250350.0,81505.0,5,33338105811.68,2.1956807E7,42258809.0,42177304.0,14.88,14.97,14.22,14.78,5.098572,17,601155,
300009.SZ,安科生物,8.84,仿制药一致性评价;创新药;生物疫苗;肝炎概念;流感;辅助生殖;细胞免疫治疗;基因测序;民营医院;医疗器械概念;智能医疗;人工智能;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,-1.22905028,1.21640727E8,16539831.600000001,,262251.0,,,14,10875385530.88,1.3722226E7,10996582.8,27613624.2,8.91,8.95,8.83,8.84,1.340782,33,300009,
688049.SH,炬芯科技,48.07,MCU芯片;星闪概念;智能音箱;无线耳机;小米概念;AI眼镜;智能穿戴;芯片概念;消费电子概念;语音技术;专精特新;华为概念;物联网;机器人概念;2025年报预增;人工智能;粤港澳大湾区;独角兽概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,2.58215962,3.71191772E8,16518166.5,8908487.5,,10469281.0,25426654.0,20,8420308935.5,7782366,70665865.0,45239211.0,46.78,48.43,46.6,48.07,3.905249,17,688049,18470680.0
300786.SZ,国林科技,16.38,光刻胶;OLED;先进封装;芯片概念;专精特新;光刻机;家用电器;光伏概念;医疗器械概念;商业航天;净水概念;空气能热泵;中俄贸易概念;HJT电池;回购增持再贷款概念;海工装备;污水处理;冷链物流;雄安新区;医疗废物处理;新疆振兴;煤化工概念;股权转让(并购重组),全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,2.24719101,1.65144525E8,16515236.0,,,4849664.0,13355333.0,23,2397937307.22,1.0062295E7,24583616.0,11228283.0,16.06,16.87,15.98,16.38,5.555555,33,300786,6477850.0
301149.SZ,隆华新材,13.69,建筑节能;风电;装配式建筑;体育产业;高铁;新能源汽车;专精特新;智能家居;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.73583517,1.86661789E8,16509384.0,,,13652556.0,9188723.0,9,3575577267.65,1.3787157E7,32135146.0,22946423.0,13.58,13.72,13.38,13.69,2.501839,33,301149,18326284.0
002457.SZ,青龙管业,11.54,新型城镇化;地下管网;水利;风电;乡村振兴;西部大开发;参股银行;新疆振兴;京津冀一体化;互联网金融,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,-2.36886633,3.00272889E8,16419053.0,,10888805.0,1497414.0,,10,3845939827.46,2.5770837E7,24318596.0,25179262.0,11.79,11.87,11.51,11.54,3.045685,33,002457,2351852.0
000090.SZ,天健集团,3.52,租售同权;物业管理;深圳国企改革;国企改革;新型城镇化;粤港澳大湾区;人工智能;数字孪生;机器人概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.57142857,8.17531993E7,16405683.100000001,,,3451162.0,3126237.5,11,6576878647.68,2.3231601E7,16446880.3,13320642.8,3.54,3.55,3.49,3.52,1.714285,33,000090,
603712.SH,七一二,16.1,军工信息化;军民融合;大飞机;军工;卫星导航;无人机;商业航天;高铁;6G概念;京津冀一体化;一带一路;DeepSeek概念;回购增持再贷款概念;国企改革;融资融券;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),2.28716645,1.50325406E8,16353100.700000001,,,,11869333.100000001,16,12429200000.0,9360675,20156939.1,8287606.0,15.61,16.44,15.61,16.1,5.273189,17,603712,3653293.0
301297.SZ,富乐德,43.2,光刻机;中芯国际概念;富士康概念;OLED;芯片概念;2025年报预增;股权转让(并购重组);深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,-2.394939,6.43206274E8,16346456.0,,175599853.0,98943186.0,,9,15680640139.2,1.4832576E7,103730210.0,134738339.0,44.21,44.57,42.98,43.2,3.592408,33,301297,13065092.0
300419.SZ,ST浩丰,7.05,华为欧拉;智慧政务;数据安全;信创;网络安全;云计算;百度概念;AI应用;数据要素;AI智能体;抖音概念(字节概念);快手概念;互联网金融;DeepSeek概念;东数西算(算力);人工智能;量子科技;物联网;华为概念;数据中心;军工;ST板块;股权转让(并购重组),ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司;风险警示板,0.8583691,8.5819226E7,16180887.0,,,6942796.0,,23,2592664078.5,1.22158E7,18381759.0,29058969.0,6.95,7.11,6.9,7.05,3.004291,33,300419,
603356.SH,华菱精工,19.1,海工装备;光伏概念;风电;股权转让(并购重组),上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,4.20076378,1.26281172E8,16166788.0,8057375.0,4337196.0,7287879.0,24224163.0,4,2546794000.0,6685500,30355829.0,6131666.0,18.4,19.21,18.35,19.1,4.691762,17,603356,10530969.0
000676.SZ,智度股份,7.38,快手概念;小红书概念;NFT概念;虚拟数字人;文化传媒概念;Web3.0;拼多多概念;网络游戏;ChatGPT概念;抖音概念(字节概念);AI智能体;网红经济;百度概念;财税数字化;鸿蒙概念;区块链;腾讯概念;元宇宙;阿里巴巴概念;智慧政务;互联网金融;数字经济;数字货币;人工智能;独角兽概念;虚拟现实;创投;华为概念;小米概念;智能音箱;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.13568521,1.80666895E8,16146806.700000001,,,5212829.0,4951240.6,32,9291630566.16,2.4455778E7,21210175.0,16258934.4,7.26,7.54,7.26,7.38,3.799185,33,000676,
